,bootstrap_num,speech_type,speech_metric,embeddings,assoc,corr
56,9,CDS,OR,Word2Vec,WEAT,"(0.17440622883305773, 2.1359301891714103e-18)"
57,9,CS,OR,Word2Vec,WEAT,"(0.13223939576406105, 3.77792238870866e-11)"
58,9,CDS,LOR,Word2Vec,WEAT,"(0.1819763538377142, 6.481090228018302e-20)"
59,9,CS,LOR,Word2Vec,WEAT,"(0.18394568045730886, 2.5452410984590762e-20)"
60,10,CDS,pfgw,Word2Vec,WEAT,"(0.16954256116323682, 1.4901847333754482e-17)"
61,10,CS,pfgw,Word2Vec,WEAT,"(0.21143150498518054, 1.2796150974905563e-26)"
62,10,CDS,OR,Word2Vec,WEAT,"(0.13676142959605747, 6.817093660546573e-12)"
63,10,CS,OR,Word2Vec,WEAT,"(0.1449475502224788, 3.428283390999471e-13)"
64,10,CDS,LOR,Word2Vec,WEAT,"(0.16143950719728406, 4.867554213960844e-16)"
65,10,CS,LOR,Word2Vec,WEAT,"(0.18353573520298397, 2.3862290503152893e-20)"
66,11,CDS,pfgw,Word2Vec,WEAT,"(0.16912772567938586, 1.8154940446897278e-17)"
67,11,CS,pfgw,Word2Vec,WEAT,"(0.2104448765347514, 2.264191330787687e-26)"
68,11,CDS,OR,Word2Vec,WEAT,"(0.12369442917761479, 5.67301135016988e-10)"
69,11,CS,OR,Word2Vec,WEAT,"(0.13712976148060496, 6.0395374412756256e-12)"
70,11,CDS,LOR,Word2Vec,WEAT,"(0.15546686305840524, 5.7552087546987665e-15)"
71,11,CS,LOR,Word2Vec,WEAT,"(0.18599684329718438, 7.410459028976973e-21)"
72,12,CDS,pfgw,Word2Vec,WEAT,"(0.169039935137478, 1.971965744257719e-17)"
73,12,CS,pfgw,Word2Vec,WEAT,"(0.2153546733721966, 1.5516099133565415e-27)"
74,12,CDS,OR,Word2Vec,WEAT,"(0.1463841510498094, 2.0821879494902385e-13)"
75,12,CS,OR,Word2Vec,WEAT,"(0.07705865387591221, 0.00011784835535802942)"
76,12,CDS,LOR,Word2Vec,WEAT,"(0.16261320078654112, 3.1357332130908334e-16)"
77,12,CS,LOR,Word2Vec,WEAT,"(0.18476293825817164, 1.4191416359058757e-20)"
78,13,CDS,pfgw,Word2Vec,WEAT,"(0.18153038540719033, 6.750246395375835e-20)"
79,13,CS,pfgw,Word2Vec,WEAT,"(0.21515111504091144, 1.7834011707776725e-27)"
80,13,CDS,OR,Word2Vec,WEAT,"(0.16146536192110394, 5.148802834661262e-16)"
81,13,CS,OR,Word2Vec,WEAT,"(0.12837560131319703, 1.2708120680563302e-10)"
82,13,CDS,LOR,Word2Vec,WEAT,"(0.17219702791840896, 4.939964034180892e-18)"
83,13,CS,LOR,Word2Vec,WEAT,"(0.18558997641154307, 9.690179670902365e-21)"
84,14,CDS,pfgw,Word2Vec,WEAT,"(0.17437521539891304, 2.034723773215424e-18)"
85,14,CS,pfgw,Word2Vec,WEAT,"(0.2216757782617979, 4.864271808471836e-29)"
86,14,CDS,OR,Word2Vec,WEAT,"(0.17054063290706456, 1.1295319368864063e-17)"
87,14,CS,OR,Word2Vec,WEAT,"(0.12726940446704263, 1.9267902402508317e-10)"
88,14,CDS,LOR,Word2Vec,WEAT,"(0.1708818531996831, 9.712996269761152e-18)"
89,14,CS,LOR,Word2Vec,WEAT,"(0.1930471056095294, 2.7337659466802744e-22)"
90,15,CDS,pfgw,Word2Vec,WEAT,"(0.16973464079665374, 1.5876376850302652e-17)"
91,15,CS,pfgw,Word2Vec,WEAT,"(0.20699966462069938, 1.8295271838098564e-25)"
92,15,CDS,OR,Word2Vec,WEAT,"(0.14183128049847135, 1.2114173614757161e-12)"
93,15,CS,OR,Word2Vec,WEAT,"(0.12329594373643263, 6.917379127816499e-10)"
94,15,CDS,LOR,Word2Vec,WEAT,"(0.16278118624724147, 3.169880516187222e-16)"
95,15,CS,LOR,Word2Vec,WEAT,"(0.16799157990028657, 3.403807080830426e-17)"
96,16,CDS,pfgw,Word2Vec,WEAT,"(0.1684560270349248, 3.21678080419999e-17)"
97,16,CS,pfgw,Word2Vec,WEAT,"(0.21716350343336605, 8.178206781615948e-28)"
98,16,CDS,OR,Word2Vec,WEAT,"(0.12807328874675156, 1.5951031143960294e-10)"
99,16,CS,OR,Word2Vec,WEAT,"(0.1322253546200563, 3.9710245013471635e-11)"
100,16,CDS,LOR,Word2Vec,WEAT,"(0.16170793974784706, 5.690489528838633e-16)"
101,16,CS,LOR,Word2Vec,WEAT,"(0.1847501277519125, 1.8911868042268588e-20)"
102,17,CDS,pfgw,Word2Vec,WEAT,"(0.17086634659295288, 7.243615140400996e-18)"
103,17,CS,pfgw,Word2Vec,WEAT,"(0.22383301679508538, 8.178877434324286e-30)"
104,17,CDS,OR,Word2Vec,WEAT,"(0.16347256624945414, 1.8234566493138055e-16)"
105,17,CS,OR,Word2Vec,WEAT,"(0.11483052870614857, 8.240184922812014e-09)"
106,17,CDS,LOR,Word2Vec,WEAT,"(0.16498248426091483, 9.549663770111842e-17)"
107,17,CS,LOR,Word2Vec,WEAT,"(0.18549319764620478, 7.92538329960983e-21)"
108,18,CDS,pfgw,Word2Vec,WEAT,"(0.1725109249397513, 3.976070213139715e-18)"
109,18,CS,pfgw,Word2Vec,WEAT,"(0.22020981896751185, 8.65709999361345e-29)"
110,18,CDS,OR,Word2Vec,WEAT,"(0.1525642499166058, 1.8137169184338202e-14)"
111,18,CS,OR,Word2Vec,WEAT,"(0.14181854509884292, 1.0973871689125675e-12)"
112,18,CDS,LOR,Word2Vec,WEAT,"(0.16421500853708645, 1.5041395368424806e-16)"
113,18,CS,LOR,Word2Vec,WEAT,"(0.1927814390451247, 2.5313099300494314e-22)"
114,19,CDS,pfgw,Word2Vec,WEAT,"(0.18430070456969247, 2.3036855994610536e-20)"
115,19,CS,pfgw,Word2Vec,WEAT,"(0.21422301777195973, 4.196662177008362e-27)"
116,19,CDS,OR,Word2Vec,WEAT,"(0.16939036443798017, 2.1091802938548996e-17)"
117,19,CS,OR,Word2Vec,WEAT,"(0.11486176853453359, 9.884099323445392e-09)"
118,19,CDS,LOR,Word2Vec,WEAT,"(0.1837524820351226, 2.991788278214304e-20)"
119,19,CS,LOR,Word2Vec,WEAT,"(0.18391507413827235, 2.768876910913091e-20)"
120,20,CDS,pfgw,Word2Vec,WEAT,"(0.1687820910285772, 2.052212783643356e-17)"
121,20,CS,pfgw,Word2Vec,WEAT,"(0.21505345091369527, 1.6332217248441672e-27)"
122,20,CDS,OR,Word2Vec,WEAT,"(0.1587127048003717, 1.4930874778274737e-15)"
123,20,CS,OR,Word2Vec,WEAT,"(0.1427808608820307, 7.613533953972991e-13)"
124,20,CDS,LOR,Word2Vec,WEAT,"(0.15970099303545177, 9.920744886447967e-16)"
125,20,CS,LOR,Word2Vec,WEAT,"(0.19135201219326198, 5.094291468630052e-22)"
126,21,CDS,pfgw,Word2Vec,WEAT,"(0.17066467504113178, 9.921281417896841e-18)"
127,21,CS,pfgw,Word2Vec,WEAT,"(0.20323969483179632, 1.2639384324517682e-24)"
128,21,CDS,OR,Word2Vec,WEAT,"(0.1502386085049292, 4.8484220368523184e-14)"
129,21,CS,OR,Word2Vec,WEAT,"(0.13209234750198384, 3.663164640211351e-11)"
130,21,CDS,LOR,Word2Vec,WEAT,"(0.1580667630070806, 2.1309315558764692e-15)"
131,21,CS,LOR,Word2Vec,WEAT,"(0.1746570989725738, 1.6559413648639817e-18)"
132,22,CDS,pfgw,Word2Vec,WEAT,"(0.1770573474637786, 7.756350508277145e-19)"
133,22,CS,pfgw,Word2Vec,WEAT,"(0.21675670995265156, 1.2210273288407936e-27)"
134,22,CDS,OR,Word2Vec,WEAT,"(0.1463302861249984, 2.7380206528699684e-13)"
135,22,CS,OR,Word2Vec,WEAT,"(0.15812603911050413, 2.7244696871772915e-15)"
136,22,CDS,LOR,Word2Vec,WEAT,"(0.16832216352345952, 3.7754659817323994e-17)"
137,22,CS,LOR,Word2Vec,WEAT,"(0.19911834749955448, 1.699920051094339e-23)"
138,23,CDS,pfgw,Word2Vec,WEAT,"(0.15707518566591208, 2.6073337783672455e-15)"
139,23,CS,pfgw,Word2Vec,WEAT,"(0.20611671476850357, 1.9029587624201047e-25)"
140,23,CDS,OR,Word2Vec,WEAT,"(0.1552608578458216, 5.456528541065027e-15)"
