,age,word,pfgw,OR,LOR,freq
950,2,basket,0.5814357823892317,1.3891926664522354,0.32872276290194724,37
951,2,him,0.6111445778019162,1.573674100086613,0.45341307651543633,661
952,2,pumpkin,0.3316018091442389,0.49604663629053874,-0.7010853318979501,47
953,2,by,0.5931996235247756,1.4584620640411066,0.3773824997310117,107
954,2,coming,0.3616159725822638,0.566308014564911,-0.5686171534551758,109
955,2,cracker,0.3731731899882412,0.5952719183038946,-0.518736972278976,50
956,2,store,0.41631538082256997,0.713174557171617,-0.3380290678139871,77
957,2,tire,0.03107537640993898,0.03206338017493595,-3.44004070457809,34
958,2,pretend,0.5474239873401272,1.2096035369360425,0.1902926504931244,30
959,2,knife,0.4891649545357255,0.9575718821023755,-0.043354488053373476,40
960,2,clothes,0.7358133289777423,2.7860000329256045,1.0246068871758496,69
961,2,owl,0.7825369043294474,3.598876063183475,1.280621592044783,22
962,2,dogs,0.7312940740778842,2.722094354724438,1.0014015673773755,50
963,2,hook,0.0,1.0,0.0,23
964,2,turtle,0.3828790253518396,0.6203701763941845,-0.47743892041133357,46
965,2,frog,0.8264701095170554,4.763301080168324,1.5609409321174301,22
966,2,carrot,0.733459843378342,2.7521868494178827,1.0123958136303335,36
967,2,cooking,0.6181302667077352,1.6188377834179446,0.48170847413386286,43
968,2,dark,0.3060328349881699,0.4409404267357544,-0.818845499427327,34
969,2,Daddy,0.378328548183772,0.6077608199436065,-0.4979738626640739,630
970,2,almost,0.45402384942048624,0.831565284644778,-0.1844454691260364,25
971,2,belong,0.4136907619654501,0.7055582853143938,-0.34876589548956893,25
972,2,fruit,0.6493884773791441,1.852266128239719,0.6164098236540824,22
973,2,meow,0.4808107042645456,0.9260659018619778,-0.07680987855083161,45
974,2,alright,0.46864493263822415,0.88193327375633,-0.12563887917469813,99
975,2,farmer,0.20923250803517815,0.2645548021690385,-1.329706857579628,30
976,2,lunchbox,0.0,1.0,0.0,21
977,2,bear,0.47698898244557203,0.9119418944889007,-0.0921790031207359,175
