,word,pfgw,freq,OR,LOR
0,trunk,0.13465783664459163,453,0.15555774284775784,-1.8607382796497063
1,Dad,0.1891566265060241,830,0.2331564185129797,-1.4560457265636126
2,Pluto,0.5,20,1.0,0.0
3,April,0.8648648648648648,37,6.400182840116475,1.8563265587257458
4,same,0.47961630695443647,417,0.9216424046626432,-0.08159797809529387
5,climbing,0.8484848484848485,66,5.600272574132545,1.7228152705088053
6,shave,0.3870967741935484,31,0.6315742695404568,-0.45953973596681225
7,boat,0.5375,400,1.1621990599083536,0.1503139517688091
8,penguin,0.6623376623376624,77,1.961590350301651,0.6737555474479261
9,roller,0.21951219512195122,41,0.2812431555658542,-1.2685356615254784
10,pan,0.6944444444444444,36,2.272760939376465,0.8209953652857586
11,black,0.541586073500967,517,1.1814883666593607,0.16677497134951275
12,wrap,0.6538461538461539,26,1.888904877739957,0.6359972313700311
13,apart,0.40740740740740744,135,0.687481813420241,-0.3747199029982252
14,careful,0.5853658536585366,123,1.411796076837927,0.3448627071383763
15,cock_a_doodle_doo,0.638888888888889,36,1.7692494893279576,0.5705554393361331
16,I've,0.48792270531400966,207,0.9528251473510356,-0.04832386818371765
17,bit,0.5772357723577235,369,1.3654669800226984,0.311496480037411
18,telephones,0.7317073170731707,41,2.7273275561057675,1.0033222125671521
19,rock,0.4232081911262799,293,0.7336928710834404,-0.3096647697010511
20,tan,0.3181818181818182,22,0.4666627165217281,-0.7621485166790186
21,Zach,0.08333333333333334,36,0.09090620526347531,-2.3979270154039334
22,buildings,0.5,20,1.0,0.0
23,Cleo,1.0,31,1.0,0.0
24,push,0.38239757207890746,659,0.6190630488754671,-0.4795481554659877
25,crayon,0.5877862595419847,131,1.4259606294222709,0.35484571251017416
26,ya,0.5611510791366906,695,1.2788035717725232,0.2459249312654317
27,unhunh,0.5185185185185185,108,1.076927635018939,0.07411220466235098
28,send,0.36111111111111116,36,0.5652114108450844,-0.5705554393361331
29,son,0.18367346938775508,49,0.22499261991448624,-1.4916876776957222
30,cries,0.7826086956521738,23,3.600049518464674,1.2809476004965394
31,horsies,0.43478260869565216,23,0.7692283275125484,-0.262367438706216
32,tickle,0.4967741935483871,155,0.9871784425926406,-0.012904462989377205
33,burned,0.46808510638297873,47,0.8799972066388883,-0.12783654578891354
34,isn't,0.5065616797900263,381,1.0266011768239938,0.026253517474982606
35,looked,0.5048543689320388,103,1.0196089220097202,0.019419143981459656
36,take,0.4366438356164384,2920,0.774772147576328,-0.2551862959835011
37,cash,0.65,40,1.8571664375637313,0.6190519054753169
38,ant,0.6666666666666666,27,2.000019045563336,0.693156703296272
39,hotdog,0.640625,64,1.7826426472652368,0.578096896620625
40,radio,0.4285714285714286,49,0.749994445026394,-0.2876894791106848
41,they're,0.5537435137138621,1349,1.2410543108753136,0.21596126906447108
