,child_sex,word,freq
0,male,Chi's,44
1,male,sunshine,28
2,male,buzz,40
3,male,Robin,75
4,male,!,9455
5,male,logs,22
6,male,wonderful,36
7,male,fold,39
8,male,umbrella,45
9,male,snow,101
10,male,human,20
11,male,across,51
12,male,answer,41
13,male,north,27
14,male,mean,470
15,male,cookies,167
16,male,pipe,38
17,male,still,744
18,male,live,156
19,male,roared,63
20,male,k,22
21,male,five,397
22,male,trying,221
23,male,whee,39
24,male,friends,109
25,male,otter,22
26,male,Timmy,85
27,male,kick,40
28,male,this,7309
29,male,gate,21
30,male,thinks,38
31,male,castle,31
32,male,time,913
33,male,found,308
34,male,shave,22
35,male,bunny,274
36,male,years,122
37,male,plenty,30
38,male,cooking,101
39,male,down,1836
40,male,nothing,174
41,male,dip,20
42,male,lemme,103
43,male,orange,187
44,male,snake,39
45,male,crayon,64
46,male,set,159
47,male,week,96
48,male,Tuesday,98
49,male,paying,22
50,male,rub,21
51,male,ago,71
52,male,hours,29
53,male,one's,163
54,male,tail,84
55,male,buddy,60
56,male,ow,73
57,male,s,39
58,male,crab,35
59,male,fuzzy,55
60,male,need,559
61,male,nah,38
62,male,finish,317
63,male,Bear,420
64,male,comb,43
65,male,mom,32
66,male,bouncie,43
67,male,probably,295
68,male,bathtime,31
69,male,company,26
70,male,themselves,21
71,male,Mot,68
72,male,share,57
73,male,showing,21
74,male,king,31
75,male,ship,23
76,male,medicine,43
77,male,lights,29
78,male,rock,73
79,male,beads,37
80,male,move,241
81,male,certain,21
82,male,Sesame,28
83,male,them,2544
84,male,your,5629
85,male,should,756
86,male,played,109
87,male,kiss,125
88,male,pear,24
89,male,outside,226
90,male,hair,198
91,male,throwing,38
92,male,doll,113
93,male,dish,56
94,male,dressing,24
95,male,page,173
96,male,Brian,52
97,male,we'd,54
98,male,fruit,57
99,male,better,515
100,male,boring,55
101,male,naughty,22
102,male,strawberry,35
103,male,ready,461
104,male,breakfast,116
105,male,had,874
106,male,g,35
107,male,nineteen,22
108,male,grab,36
109,male,stays,25
110,male,"""/.",225
111,male,toast,61
112,male,pajamas,27
113,male,yuck,45
114,male,yogurt,31
115,male,enough,266
116,male,turkey,50
117,male,zoo,116
118,male,test,25
119,male,eat,1774
120,male,seems,22
121,male,call,447
122,male,swallow,23
123,male,said,1551
124,male,people,400
125,male,maybe,692
126,male,asking,27
127,male,snort,45
128,male,laying,25
129,male,lots_of,82
130,male,calf,81
131,male,please,750
132,male,past,136
133,male,blocks,199
134,male,sir,76
135,male,New,38
136,male,case,26
137,male,wish,43
138,male,himself,166
139,male,understand,75
140,male,camera,48
141,male,laughing,86
142,male,button,105
143,male,nickel,28
144,male,hm,1316
145,male,happening,33
146,male,plastic,59
147,male,also,142
148,male,sounds,93
149,male,pages,34
150,male,wouldn't,184
151,male,next,406
152,male,bye,229
153,male,David,82
154,male,sit,884
155,male,they,3459
156,male,fox,38
157,male,reach,65
158,male,puzzle,178
159,male,crawl,22
160,male,Lassie,47
161,male,ooh,78
162,male,that'll,29
163,male,lonely,32
164,male,she,1533
165,male,Ernie,60
166,male,built,135
167,male,hope,91
168,male,whining,26
169,male,seven,90
170,male,bundles,23
171,male,music,60
172,male,hungry,797
173,male,other,953
174,male,than,361
175,male,me,3536
176,male,sock,37
177,male,brother,80
178,male,tree,198
179,male,moose,30
180,male,last,369
181,male,swan,22
182,male,leopard,22
183,male,these,1413
184,male,telling,83
185,male,where's,1051
186,male,good_night,51
187,male,uhhuh,662
188,male,there's,1294
189,male,Bobby,22
190,male,arm,75
191,male,bedroom,41
192,male,thought,338
193,male,type,23
194,male,from,596
195,male,upstairs,65
196,male,grapes,32
197,male,somewhere,42
198,male,oops,170
199,male,how'd,20
200,male,e,54
201,male,tall,132
202,male,cracker,41
203,male,tweet,35
204,male,glue,25
205,male,brought,91
206,male,pick,393
207,male,couple,119
208,male,dress,38
209,male,hear,285
210,male,kiwi,54
211,male,Honey,34
212,male,falling,57
213,male,extra,32
214,male,giant,47
215,male,farm,88
216,male,it's,3905
217,male,tear,31
218,male,creatures,29
219,male,eleven,21
220,male,balloons,27
221,male,boots,140
222,male,em,81
223,male,anymore,294
224,male,only,352
225,male,mashed,31
226,male,Ross,141
227,male,wolf,46
228,male,men,59
229,male,policeman,122
230,male,today,491
231,male,up,3585
232,male,at,3156
233,male,tasty,20
234,male,rabbit,112
235,male,clap,24
236,male,line,47
237,male,night_night,46
238,male,seem,43
239,male,chasing,22
240,male,you'll,316
241,male,Mister,60
242,male,Mickey,20
243,male,peek_a_boo,30
244,male,block,65
245,male,why,1797
246,male,way,862
247,male,carry,45
248,male,horn,29
249,male,gets,116
250,male,excitable,20
251,male,giving,44
252,male,oranges,102
253,male,rocket,244
254,male,town,58
255,male,won't,296
256,male,bang,45
257,male,fit,231
258,male,watched,33
259,male,wan,34
260,male,times,73
261,male,hush,22
262,male,train,178
263,male,Marcella,23
264,male,bottom,85
265,male,definitely,54
266,male,everybody,92
267,male,circle,94
268,male,suppose,45
269,male,bit,209
270,male,clouds,111
271,male,pull,239
272,male,police,34
273,male,Nurse,20
274,male,mhm,983
