,decade,word,pfgw,freq,OR,LOR
0,70s,mashed,1.0,20,1.0,0.0
1,70s,by,0.3965415669089586,155,0.656960948493528,-0.4201307013911516
2,70s,pig,0.8339933291195918,39,5.0248513091541795,1.6143958632892665
3,70s,crocodile,0.45810034594372034,23,0.8453481288361643,-0.16800674967985793
4,70s,tomato,0.759588417783121,31,3.159917931248064,1.150546056137535
5,70s,starting,0.15480674237186856,21,0.18314238530216237,-1.6974913669134013
6,70s,pretty,0.5971525300614337,202,1.4827626033783428,0.39390697170282857
7,70s,kitty,0.939197187431867,271,15.474956263950293,2.7392229923275897
8,70s,Miriam,1.0,31,1.0,0.0
9,70s,yup,0.9984186152790019,1151,637.0141290594686,6.456791835953286
10,70s,place,0.6910896466910917,85,2.2377312525307507,0.8054625189126802
11,70s,buy,0.5050657527093882,81,1.0204765887027547,0.020269761998003722
12,70s,girls,0.8460316344128826,30,5.495710679942396,1.7039679116025346
13,70s,screw,0.12930606558461066,42,0.148476248779706,-1.9073302744086895
14,70s,finish,0.785556230007376,26,3.6636394839595448,1.2984570478550206
15,70s,boy,0.5972183543851177,296,1.4833708772304108,0.39431711768214583
16,70s,noise,0.5969721184278759,54,1.4813334204119448,0.3929426418932133
17,70s,moon,0.7711758938333707,61,3.37101321335739,1.2152133559586853
18,70s,Jack,0.8896137539538203,75,8.0627079831987,2.0872494781549005
19,70s,growing,0.4850596979993611,26,0.9419672925258544,-0.05978472631870594
20,70s,together,0.43208409886608157,88,0.7607574195415957,-0.273440737322487
21,70s,sugar,0.5119606329960362,43,1.0490230028252048,0.047859257510443835
22,70s,story,0.8170025838329121,81,4.466302142226491,1.4965608050091899
23,70s,monkeys,0.7584487935675456,27,3.1402402943788634,1.1442993238643797
24,70s,say,0.5456041736337313,339,1.2009998386523508,0.18315440875341685
25,70s,medicine,0.6732629693985174,23,2.060688405797101,0.72304010454801
26,70s,swim,0.7918453523260401,58,3.8050975879113214,1.3363416382676334
27,70s,through,0.1366295860425479,143,0.15813410753687143,-1.8443118240878762
28,70s,barrels,0.446262537531509,26,0.8058934340775606,-0.21580376100145032
29,70s,lemme,1.0,40,1.0,0.0
30,70s,outside,0.2953485488696249,297,0.4187723943557442,-0.8704277182143211
31,70s,Rufus,0.0,28,1.0,0.0
32,70s,sorry,0.5497677095116149,38,1.2211099325830326,0.19976022595121004
33,70s,took,0.5323206187171879,57,1.138248027271983,0.1294902621075829
34,70s,ago,0.21552755427356918,30,0.2747083459129721,-1.292045304424075
35,70s,skirt,0.9202498754512001,23,11.5408788962698,2.4458954190351316
36,70s,Chris,0.05467783835205444,20,0.057833134647241886,-2.850193403763611
37,70s,knocked,0.3717614579027404,20,0.5917299474539209,-0.5247049180165957
38,70s,game,0.17564203559916616,117,0.2129494918341435,-1.5467002689311247
39,70s,Christopher,1.0,51,1.0,0.0
40,70s,teacher,0.2994139924737954,25,0.427345464929846,-0.850162541501191
41,70s,pants,0.6017651646634133,114,1.511342425861815,0.4129982796288269
42,70s,called,0.5943683465194924,35,1.4653628877206837,0.38210291672402436
43,70s,trash,0.47345024039129585,20,0.8991487169526095,-0.10630683332784155
44,70s,lives,0.4717133135949487,29,0.8929008283657196,-0.1132797587343215
45,70s,lie,0.9659323704427691,134,28.38071969873076,3.345710030773664
46,70s,tape,0.18872541885239993,166,0.23245598617120805,-1.4590543786660213
47,70s,makes,0.39977478032422564,53,0.6659895799974616,-0.4064812542135995
48,70s,tongue,0.62242097417686,20,1.6485124370021134,0.49987332793680583
49,70s,looking,0.49021132179712323,75,0.9615867067240684,-0.039170539418972986
50,70s,valentine,0.9673971227455437,28,29.678133420050173,3.390410526161476
51,70s,hunhunh,0.0,74,1.0,0.0
52,70s,la,0.8146731606544677,20,4.396293170856333,1.4807617246853537
53,70s,fast,0.3483784684660735,55,0.5345682925987189,-0.6262957875511858
54,70s,flat,0.0,25,1.0,0.0
55,70s,rest,0.2867645306242655,56,0.4019920738505044,-0.9113229073472845
56,70s,flying,0.674884364348566,26,2.0759702845778127,0.7304286514140182
57,70s,Peter,0.16243385335324168,20,0.19391683287341874,-1.6403259083642057
58,70s,wall,0.3689089920891202,72,0.5844771025954356,-0.5370376731821979
59,70s,eight,0.6247800124614495,83,1.6653607544394564,0.5100417692960041
60,70s,needs,0.3546238890526411,30,0.5494491882978642,-0.5988389783896597
61,70s,fox,0.8799008586855099,23,7.327433811024313,1.9916253606073964
62,70s,something,0.48398081822145,430,0.9378171479442275,-0.06420028720460816
63,70s,jumping,0.6503242463835259,35,1.8599386692696591,0.6205435136705357
64,70s,bounce,0.5831052070299378,25,1.3987299232365773,0.3355646271801848
65,70s,candy,0.40153767612256563,153,0.6708011616650532,-0.39928251727391906
66,70s,telephone,0.6953515772746196,40,2.2827403712147745,0.8253766384415787
67,70s,Lois,0.0,27,1.0,0.0
68,70s,knock,0.62242097417686,55,1.6486178861788616,0.49993729215201616
69,70s,yeah,0.4613731207892334,4776,0.8542118705067648,-0.15757602403498452
70,70s,popped,0.2506380225902494,30,0.3344324965466731,-1.0953202238248505
71,70s,we,0.327472216854694,1876,0.4846294884056436,-0.7243706214282709
72,70s,first,0.24427115254180132,154,0.3230425102800435,-1.1299713536452902
73,70s,cry,0.8702897277432765,135,6.714621088271984,1.9042874007244237
74,70s,apple,0.8565825637999791,148,5.977469179681262,1.7879972642820543
75,70s,two,0.36546309639862096,791,0.5750577361337359,-0.5532848325582335
76,70s,says,0.6253002456108199,68,1.6690157891084005,0.5122341048556818
77,70s,babies,0.8824858781045959,47,7.511682230929262,2.0164594394842386
78,70s,world,0.34087437778654833,25,0.5171315702592243,-0.659457948921401
79,70s,wonder,0.863370558826609,27,6.320013936203158,1.8437214132517712
80,70s,cheese,0.5066368801714013,118,1.026916523014882,0.02656064528146979
81,70s,sleep,0.847292080565729,248,5.555748885782494,1.714833226927289
82,70s,wrong,0.2203287155613518,44,0.28254182066714,-1.2639287015923617
83,70s,bathroom,0.8623370445415316,67,6.266442079829004,1.8352087422004268
84,70s,stick,0.41749326419811755,76,0.7166525445553454,-0.3331641519943007
85,70s,kite,0.24427115254180132,22,0.32319972532201346,-1.1294848022055657
86,70s,alligator,0.15125562475462034,43,0.1781728778175514,-1.7250009763285201
87,70s,butter,0.2277068556816553,156,0.2946649292276895,-1.2219164013161081
88,70s,Abe,0.0,64,1.0,0.0
89,70s,look,0.5292764403152889,1137,1.1249452389849284,0.11773435801380479
90,70s,snakes,0.04378539088811853,25,0.04578295221728518,-3.083843479483942
91,70s,the,0.49891206041182223,7887,0.9955279060372565,-0.004482123688704509
92,70s,pens,0.11818172888228329,46,0.13398698487131955,-2.010012611574412
93,70s,paper,0.4907959063680923,229,0.9638191300690049,-0.03685162638499893
94,70s,fight,0.5749340587774785,29,1.3526198344302038,0.3020433299800687
95,70s,yellow,0.4790431462336804,90,0.9195192193121384,-0.0839043332397939
96,70s,doctor,0.5732301384394862,80,1.3433001993545286,0.2951294214933769
97,70s,rain,0.5235754247633237,28,1.0989788571561288,0.09438143697994693
98,70s,cold,0.5260568744958188,201,1.1100438480965589,0.1043995173337208
99,70s,nothing,0.387361150495858,115,0.6321634428886425,-0.45860730610406797
100,70s,hafta,0.5184297441250976,485,1.0766826727899228,0.07388471482430148
101,70s,raining,0.42006120930619795,73,0.7242580034828049,-0.32260759167533093
102,70s,boom,0.35462388905264103,21,0.5494596519477303,-0.5988199346810585
103,70s,drawing,0.8264550297720736,32,4.7629525822577685,1.5608677663330492
104,70s,poop,0.04378539088811853,50,0.0457755655501454,-3.0840048334974393
105,70s,queen,0.8743739345420221,22,6.961008227266627,1.940324324094555
106,70s,closed,0.4190092624449347,53,0.7211525061550611,-0.32690464373843714
107,70s,family,0.7902636499066569,31,3.7684050555627446,1.3266518497589168
108,70s,hm,0.17377825248431153,249,0.21008424065500328,-1.5602466827259986
109,70s,paint,0.28017050836754026,65,0.389137492322541,-0.9438225471120554
110,70s,trick,0.03533776831021009,31,0.03662481357051808,-3.3070293018826233
111,70s,end,0.617755940453006,42,1.616248862542276,0.48010794734020285
112,70s,more,0.6770053940720571,1160,2.1025217456436405,0.7431374555670761
113,70s,would,0.27271457962720796,511,0.3743463920589463,-0.9825737282336925
114,70s,part,0.32959858844287604,165,0.4914428646656135,-0.7104095930175927
115,70s,walk,0.574238647691247,98,1.3488794503593657,0.29927421100823764
116,70s,Patsy,0.0,68,1.0,0.0
117,70s,clean,0.9285941571057887,77,13.011057583080323,2.56579957923442
118,70s,anything,0.20776627256047484,109,0.26213381081686,-1.338900177289727
119,70s,fish,0.4510775454426401,194,0.8216363458733714,-0.19645738342832625
120,70s,falling,0.4608446487539783,32,0.8547372477572448,-0.15696116984018552
121,70s,walking,0.7026271240673072,63,2.363235248567446,0.8600315482928507
122,70s,likes,0.6060751690409961,48,1.538672138128605,0.43091979650749607
123,70s,Wilbur,1.0,25,1.0,0.0
124,70s,seen,0.32018403455158495,20,0.4709617700630032,-0.7529783558544597
125,70s,Daddy,0.4310863574614387,1480,0.7565979815688886,-0.27892323455191526
126,70s,carriage,0.9461887947161439,34,17.5875990120092,2.8671940521053547
127,70s,sink,0.7274404209857502,24,2.6691422554807653,0.9817571681705515
128,70s,or,0.31671136611411155,209,0.46325276185861,-0.7694824519162318
129,70s,hear,0.6960039973361551,222,2.291015993324705,0.8289953843831355
130,70s,juice,0.8544741145964708,222,5.878691919572257,1.7713342745042686
131,70s,reach,0.2627663596203651,49,0.356362307914901,-1.0318073467927662
132,70s,arm,0.9202498754512001,69,11.544307620817843,2.44619246879652
133,70s,ssh,0.7473956715585238,48,2.959291188880497,1.0849497764440268
134,70s,forgot,0.19731699588042673,93,0.24572255856804423,-1.4035521902058483
135,70s,cars,0.6629108814266069,53,1.966829011451889,0.676422607032525
136,70s,Jason,0.0,33,1.0,0.0
137,70s,wipe,0.6521388656086794,46,1.874906746073315,0.6285589227579614
138,70s,diaper,1.0,45,1.0,0.0
139,70s,lick,0.11754967127318222,37,0.1331814182200081,-2.0160430334600683
140,70s,make,0.5060209948460633,854,1.0244555287753268,0.024161280019512607
141,70s,trees,0.6953515772746196,40,2.2827403712147745,0.8253766384415787
142,70s,bag,0.5861694199323589,103,1.4166348714639132,0.34828425034382093
143,70s,win,0.08232607342676454,53,0.08968349723868368,-2.4114685041154806
144,70s,jumped,0.18525156504350151,35,0.22733682973882668,-1.4813225298422417
145,70s,but,0.709546086397545,535,2.447020276363734,0.8948710706394178
146,70s,magic,0.4034438282092826,21,0.6762680323353828,-0.39116578398600144
147,70s,eating,0.6235211073183621,178,1.6567353702306185,0.504849021544687
148,70s,uppy,0.19283633551196955,28,0.23887665620811727,-1.431807943078421
149,70s,real,0.13425094624874598,186,0.15491866273248378,-1.8648550563604236
150,70s,eggs,0.6088970474703632,58,1.5570181211881882,0.44277253131219335
151,70s,song,0.6513548481817599,27,1.8683600947617793,0.6250610914439457
152,70s,fingers,0.34087437778654833,50,0.5171016636465606,-0.6595157823224009
153,70s,Deedee,1.0,40,1.0,0.0
154,70s,it,0.41931185977980023,6789,0.7161803338554872,-0.33382328080697565
155,70s,Nomi,1.0,83,1.0,0.0
156,70s,mouth,0.7464287426801949,103,2.9447937275105227,1.0800387730581709
157,70s,stuck,0.5079621567149855,64,1.0323717696038681,0.03185884405206307
158,70s,holes,0.1769652346979902,55,0.21496081120106955,-1.5372995409517018
159,70s,of,0.38956050699154304,1048,0.6370824055356058,-0.45085626672886314
160,70s,angry,0.5235754247633239,46,1.0989857541034376,0.09438771273823122
161,70s,maybe,0.47272029681753797,207,0.8964520876907585,-0.10931043110102484
162,70s,plastic,0.2971012703314347,36,0.42263535663859264,-0.8612455127504256
163,70s,might,0.4601192809979504,87,0.8522175279961379,-0.1599134701905767
164,70s,half,0.5124773874170256,45,1.051195626085812,0.04992820786228081
165,70s,should,0.313269565330775,150,0.45599015949904503,-0.7852840497465574
166,70s,pretend,0.5096992394127147,72,1.0395751699914366,0.03881213930550357
167,70s,hands,0.40551143804773643,94,0.6820295397145674,-0.3826823087122034
168,70s,eated,0.12077942407557393,27,0.13735098312432265,-1.9852157086628843
169,70s,hawks,0.0,55,1.0,0.0
170,70s,waiting,0.5235754247633237,24,1.0989773246316898,0.09438004248040995
171,70s,rabbit,0.9703213913288002,123,32.723524762908326,3.4880942309603826
172,70s,socks,0.5687353402464941,33,1.3188061781442342,0.2767269168755564
173,70s,store,0.38915741244365964,109,0.6369705663882089,-0.451031831089449
174,70s,wet,0.59913359259439,118,1.4948571428571427,0.40203064565952945
175,70s,Mama,0.9303460596525398,171,13.37182120340423,2.593149597499587
176,70s,thanks,0.14654924669095667,37,0.17168171050798123,-1.7621130367990725
177,70s,cover,0.7672743191607801,36,3.297384558208678,1.1931295961136197
178,70s,himself,0.35462388905264103,21,0.5494596519477303,-0.5988199346810585
179,70s,night,0.3767266509509064,93,0.6043313975996902,-0.5036325599898412
180,70s,piece,0.5012851328253064,157,1.0051567717554672,0.005143521142068738
181,70s,birdie,0.9418935044851794,63,16.216729655215143,2.7860434041422897
182,70s,seeds,0.0779467064760312,42,0.08451474984219991,-2.470829205506285
183,70s,cup,0.8898364879889766,167,8.085478471124336,2.090069671379956
184,70s,straw,0.8849619621019111,32,7.694227865742712,2.040470419922583
185,70s,could,0.2804067502313855,1020,0.3884099025413132,-0.9456940471605412
186,70s,number,0.3686178388932741,49,0.5837720452750723,-0.5382447057869294
187,70s,named,0.863370558826609,27,6.320013936203158,1.8437214132517712
188,70s,blankets,1.0,22,1.0,0.0
189,70s,tummy,0.741883816755199,94,2.87521142452018,1.0561262105089977
190,70s,bell,0.8146731606544677,20,4.396293170856333,1.4807617246853537
191,70s,kiss,0.6532527933426818,38,1.8841096190409827,0.6334553586658794
192,70s,broke,0.5095693837700772,107,1.0390401290866709,0.0382973341688151
193,70s,food,0.7066826164573126,166,2.4105210272144237,0.8798429180009438
194,70s,heard,0.34087437778654833,25,0.5171315702592243,-0.659457948921401
195,70s,heared,0.0,21,1.0,0.0
196,70s,crash,0.1400143448428219,31,0.162784169998965,-1.815330066020005
197,70s,once,0.49414742748296525,34,0.9768576941306818,-0.0234142935045267
198,70s,neck,0.9081786487264508,20,9.891952154221345,2.291721512832
199,70s,second,0.1495404675825627,29,0.17580938078170602,-1.7383549346216567
200,70s,just,0.3463628387665172,707,0.5290623088083009,-0.6366490680330333
201,70s,ceiling,0.16405035955926603,33,0.1962131986207293,-1.6285534628559442
202,70s,Snoopy,0.975346901573674,37,39.57360217426653,3.6781622842150785
203,70s,tiny,0.46482261062538816,111,0.8684894460717725,-0.1409998452783559
204,70s,bug,0.9001152537120339,46,9.014082173111769,2.1987880403919555
205,70s,jacket,0.5235754247633237,76,1.098997251151806,0.09439817419161012
206,70s,mean,0.2059608722813174,199,0.2591658612821209,-1.3502870311947888
207,70s,blue,0.7024470476028796,170,2.361969336052564,0.8594957354946963
