,child_sex,word,freq
342,male,so_that,67
343,male,hope,129
344,male,ugly,23
345,male,Chi,199
346,male,McDonald's,20
347,male,unhunh,21
348,male,downstairs,97
349,male,seven,158
350,male,got,2241
351,male,nuhhuh,34
352,male,rip,26
353,male,french,28
354,male,music,58
355,male,hungry,154
356,male,other,936
357,male,than,248
358,male,me,4834
359,male,sock,59
360,male,brother,152
361,male,tree,368
362,male,lady,66
363,male,woman,22
364,male,Batman,37
365,male,last,335
366,male,half,99
367,male,He_Man,35
368,male,engine,32
369,male,teeth,199
370,male,these,797
371,male,peanuts,21
372,male,boat,143
373,male,telling,98
374,male,where's,482
375,male,bike,35
376,male,lie,81
377,male,horse,146
378,male,uhhuh,1209
379,male,there's,827
380,male,arm,60
381,male,fine,106
382,male,bedroom,29
383,male,num,31
384,male,useta,115
385,male,thought,367
386,male,register,37
387,male,Wan,23
388,male,stone,63
389,male,type,42
390,male,from,676
391,male,upstairs,100
392,male,grapes,25
393,male,somewhere,40
394,male,oops,118
395,male,hill,33
396,male,puts,24
397,male,books,76
398,male,some,2354
399,male,how'd,20
400,male,together,267
401,male,not,3985
402,male,start,192
403,male,e,35
404,male,apple,159
405,male,tall,35
406,male,off,1247
407,male,cracker,21
408,male,toys,335
409,male,glue,22
410,male,brought,50
411,male,pick,345
412,male,ouch,39
413,male,sposta,154
414,male,couple,80
415,male,goose,31
416,male,promise,51
417,male,teasing,33
418,male,close,408
419,male,toy,88
420,male,dump,41
421,male,hear,498
422,male,matter,91
423,male,stage,25
424,male,Honey,144
425,male,doggies,35
426,male,falling,56
427,male,empty,64
428,male,exactly,25
429,male,extra,35
430,male,giant,42
431,male,farm,35
432,male,it's,2990
433,male,wipe,102
434,male,poppop,27
435,male,problems,24
436,male,numbers,33
437,male,toilet,24
438,male,eleven,27
439,male,forty,28
440,male,balloons,29
441,male,pour,65
442,male,tea,79
443,male,Spiderman,27
444,male,boots,36
445,male,terrible,59
446,male,earth,33
447,male,tomatoes,21
448,male,guy,395
449,male,em,233
450,male,movie,170
451,male,anymore,232
452,male,sky,40
453,male,only,336
454,male,tastes,35
455,male,piece,185
456,male,cards,32
457,male,know,3818
458,male,Ross,2899
459,male,minutes,49
460,male,wolf,27
461,male,men,51
462,male,find,455
463,male,policeman,91
464,male,dum,35
465,male,costs,25
466,male,that'd,25
467,male,today,585
468,male,nuuw,38
469,male,road,112
470,male,up,4058
471,male,garden,25
472,male,at,2081
473,male,bubba,21
474,male,rabbit,83
475,male,mail,26
476,male,clap,27
477,male,bear,216
478,male,ring,96
479,male,line,57
480,male,Tom,25
481,male,seem,20
482,male,reading,64
483,male,sexy,27
484,male,refrigerator,197
485,male,you'll,327
486,male,spank,66
487,male,Ewok,37
488,male,Mister,29
489,male,Falcon,22
490,male,Russia,22
491,male,Sean,23
492,male,Mickey,29
493,male,pau,29
494,male,microphone,84
495,male,worked,37
496,male,block,36
497,male,fire,143
498,male,night,328
499,male,Mark's,20
500,male,makes,220
501,male,glad,66
502,male,bathtub,24
503,male,something,807
504,male,press,51
505,male,why,2572
506,male,send,40
507,male,whether,32
508,male,way,887
509,male,sometimes,161
510,male,mother,67
511,male,food,337
512,male,carry,40
513,male,gun,111
514,male,Eddie,28
515,male,horn,36
516,male,mimi,25
517,male,rather,30
518,male,over,1313
519,male,nope,108
520,male,gets,194
521,male,tower,50
522,male,wife,29
523,male,cloud,32
524,male,flat,40
525,male,budleyleys,26
526,male,body,73
527,male,giving,35
528,male,‡,3133
529,male,jumping,61
530,male,new,325
531,male,he,5431
532,male,won't,501
533,male,I,13624
534,male,Guy,36
535,male,bang,103
536,male,square,24
537,male,glasses,50
538,male,fit,100
539,male,animal,86
540,male,that,11713
541,male,kinda,52
542,male,true,166
543,male,fish,194
544,male,times,82
545,male,miss,39
546,male,keep,325
547,male,train,64
548,male,melts,21
549,male,until,193
550,male,sun,79
551,male,bottom,158
552,male,corner,43
553,male,went,700
554,male,honey,381
555,male,Texas,37
556,male,olives,21
557,male,land,57
558,male,everybody,185
559,male,circle,22
560,male,didldow,81
561,male,bit,342
562,male,try,516
563,male,Pink,31
564,male,carriage,33
565,male,wore,35
566,male,hot,309
567,male,smiling,21
568,male,June,22
569,male,pull,363
570,male,C_three_P_O,25
571,male,every,124
572,male,mhm,872
573,male,sand,38
574,male,take,1624
575,male,fair,42
576,male,„,864
577,male,though,233
578,male,wheels,90
579,male,away,620
580,male,who's,418
581,male,chocolate,289
582,male,tickle,104
583,male,likes,107
584,male,rice,26
585,male,machines,39
586,male,someone,56
587,male,finished,196
588,male,dreams,25
589,male,Star,75
590,male,closed,82
591,male,parents,37
592,male,television,27
593,male,mountain,26
594,male,witch,57
595,male,ideas,51
596,male,feeling,47
597,male,anywhere,25
598,male,door,353
599,male,plan,21
600,male,mix,29
601,male,tire,127
602,male,riding,21
603,male,very,979
604,male,wear,131
605,male,mommy,250
606,male,hello,111
607,male,lap,43
608,male,learn,187
