,child_sex,word,freq
0,male,Tron,20
1,male,second,288
2,male,heart,110
3,male,Robin,40
4,male,oh,6395
5,male,puppet,20
6,male,!,2985
7,male,duck,110
8,male,smooth,46
9,male,fill,33
10,male,dogs,66
11,male,kicked,26
12,male,wonderful,57
13,male,hundred,29
14,male,California,31
15,male,pushed,23
16,male,small,96
17,male,snow,68
18,male,hide,61
19,male,human,30
20,male,across,35
21,male,village,29
22,male,whoa,27
23,male,measure,22
24,male,shake,49
25,male,laugh,33
26,male,answer,81
27,male,Vadar,29
28,male,tag,38
29,male,mean,1318
30,male,cookies,204
31,male,pipe,47
32,male,still,454
33,male,any,875
34,male,doing,957
35,male,tv,274
36,male,live,159
37,male,rain,53
38,male,crash,68
39,male,for,3148
40,male,trouble,104
41,male,Marky's,204
42,male,important,36
43,male,long,397
44,male,life,41
45,male,picked,60
46,male,k,28
47,male,sandwich,117
48,male,you're,2849
49,male,five,300
50,male,cut,329
51,male,olds,27
52,male,trying,188
53,male,friends,194
54,male,wash,234
55,male,choke,155
56,male,ninight,109
57,male,basket,121
58,male,bees,30
59,male,kick,112
60,male,crackers,38
61,male,this,4879
62,male,drinking,41
63,male,thinks,45
64,male,ax,21
65,male,milk,623
66,male,reasons,27
67,male,Yoda,48
68,male,another,781
69,male,time,926
70,male,highchair,102
71,male,truck,183
72,male,found,144
73,male,belly,28
74,male,bouncing,21
75,male,helicopter,28
76,male,gave,147
77,male,in,6708
78,male,bunny,32
79,male,years,69
80,male,hyena,36
81,male,plenty,27
82,male,presents,63
83,male,Sarlac,23
84,male,snakes,43
85,male,down,2168
86,male,ding,31
87,male,Hungary,31
88,male,nothing,148
89,male,stupid,35
90,male,lemme,44
91,male,byebye,101
92,male,gym,22
93,male,whoo,25
94,male,program,27
95,male,orange,192
96,male,four,311
97,male,snake,145
98,male,wasn't,287
99,male,set,117
100,male,almost,269
101,male,week,103
102,male,cups,62
103,male,ummhm,223
104,male,died,78
105,male,they've,27
106,male,desk,42
107,male,rub,22
108,male,ago,67
109,male,Spanish,27
110,male,one's,95
111,male,we're,805
112,male,catch,155
113,male,rug,48
114,male,tail,26
115,male,buddy,61
116,male,the,21987
117,male,there,5282
118,male,hand,367
119,male,wine,36
120,male,ow,24
121,male,strange,22
122,male,s,73
123,male,knot,30
124,male,Dabee,38
125,male,beer,48
126,male,am,243
127,male,uhoh,51
128,male,honk,30
129,male,need,579
130,male,Teddy,73
131,male,squeak,74
132,male,draw,137
133,male,nah,39
134,male,finish,229
135,male,pole,24
136,male,dollar,61
137,male,mom,88
138,male,comb,22
139,male,trucks,33
140,male,probably,165
141,male,don't,5335
142,male,kneel,22
143,male,syrup,66
144,male,their,330
145,male,turn,832
146,male,fits,25
147,male,share,62
148,male,mistake,94
149,male,closet,33
150,male,fancy,25
151,male,pig,60
152,male,upon,29
153,male,showing,28
154,male,ate,174
155,male,king,103
156,male,rule,23
157,male,ship,32
158,male,medicine,163
159,male,a_lot,45
160,male,knight,29
161,male,lights,105
162,male,rock,87
163,male,surprised,26
164,male,elbows,43
165,male,Brussels,25
166,male,move,302
167,male,soon,161
168,male,gas,66
169,male,hate,63
170,male,too,1770
171,male,Jimmy,36
172,male,days,103
173,male,them,2210
174,male,Edna,21
175,male,water,627
176,male,your,7498
177,male,should,613
178,male,eeat,35
179,male,played,84
180,male,kiss,388
181,male,they're,756
182,male,outside,303
183,male,spoon,238
184,male,bark,101
185,male,hair,286
186,male,football,28
187,male,round,34
188,male,gold,21
189,male,throwing,31
190,male,breath,23
191,male,bank,21
192,male,easy,130
193,male,dishes,35
194,male,page,53
195,male,Brian,63
196,male,we'd,48
197,male,course,59
198,male,working,88
199,male,Flintstones,21
200,male,fruit,25
201,male,noodle,25
202,male,tiger,74
203,male,better,622
204,male,sorry,217
205,male,missing,40
206,male,wait,671
207,male,strawberry,49
208,male,mwuh,71
