,word,pfgw,freq,OR,LOR,class
0,patty,1.0,84,1.0,0.0,"Black,WC"
1,told,0.5367647058823529,136,1.1588362695505554,0.14741628565569093,"Black,WC"
2,Miss,0.5294117647058824,68,1.1250411948332526,0.11781965261553229,"Black,WC"
3,Anthony,0.15506329113924053,316,0.18315431079201974,-1.6974262530863387,"Black,WC"
4,thank_you,0.5586206896551724,145,1.2658220439684225,0.23572174825595235,"Black,WC"
5,looking,0.5294117647058824,51,1.1250308935796276,0.11781049623900718,"Black,WC"
6,until,0.4230769230769231,52,0.7332796343588006,-0.31022815685934757,"Black,WC"
7,dress,0.3043478260869565,23,0.4374639640876393,-0.826760944376563,"Black,WC"
8,doll,0.6666666666666666,21,2.000128135897272,0.6932112464563178,"Black,WC"
9,!,0.7894736842105264,1710,3.784399525587687,1.330887228488163,"Black,WC"
10,box,0.45098039215686275,51,0.821390977443609,-0.19675606188376563,"Black,WC"
11,everyday,0.8,20,4.000439331118372,1.3864041878683055,"Black,WC"
12,watched,1.0,35,1.0,0.0,"Black,WC"
13,taking,0.5833333333333334,48,1.4001025218545473,0.3365454638361402,"Black,WC"
14,beat,0.2926829268292683,41,0.4137287210725094,-0.8825447830454044,"Black,WC"
15,headsets,0.39534883720930236,43,0.6537922930478031,-0.4249655726969547,"Black,WC"
16,ran,0.13333333333333333,30,0.15381517877193687,-1.8720035351552142,"Black,WC"
17,great,0.4230769230769231,26,0.733306486549151,-0.3101915382251323,"Black,WC"
18,Philip,0.0,52,1.0,0.0,"Black,WC"
19,Torrence,0.6530612244897959,49,1.8826114090971016,0.6326598604000419,"Black,WC"
20,Bernard,0.0,107,1.0,0.0,"Black,WC"
21,watch,0.5359116022099448,181,1.1548994066374259,0.14401324636045934,"Black,WC"
22,five,0.3870967741935484,186,0.6313360346131397,-0.4599170152230816,"Black,WC"
23,.,0.48107341551216315,27501,0.9170066160826013,-0.08664059183065136,"Black,WC"
24,what're,0.18333333333333332,60,0.22441172108681662,-1.4942728736904876,"Black,WC"
25,e,0.6666666666666666,42,2.000256304636368,0.6932753246673224,"Black,WC"
26,hurt,0.38888888888888884,72,0.6362704346776844,-0.45213159426155014,"Black,WC"
27,bells,1.0,23,1.0,0.0,"Black,WC"
28,t,0.5454545454545454,33,1.200032950437051,0.18234901511451404,"Black,WC"
