,word,pfgw,freq,OR,LOR,class
0,wanna,0.5851063829787234,188,1.4112250345347577,0.3444581460044497,"Black,WC"
1,had,0.5769230769230769,130,1.364221301486717,0.3105837907527843,"Black,WC"
2,told,0.5,66,1.0,0.0,"Black,WC"
3,eighteen,0.6956521739130435,23,2.28615493836983,0.826871340140525,"Black,WC"
4,play,0.4728682170542636,129,0.8969241848843998,-0.1087839412485985,"Black,WC"
5,Miss,0.6521739130434783,69,1.8758439609902475,0.6290586706802497,"Black,WC"
6,Anthony,0.3448275862068965,29,0.5262143364408022,-0.6420466655156142,"Black,WC"
7,before,0.619047619047619,21,1.625174031314927,0.4856149062411141,"Black,WC"
8,thank_you,0.13636363636363635,22,0.15784063666887202,-1.8461693836413962,"Black,WC"
9,lord,0.92,25,11.50517385436082,2.442796834573575,"Black,WC"
10,make,0.3984375,128,0.6619685058879897,-0.4125372983641431,"Black,WC"
11,thing,0.3513513513513513,148,0.5411557480134911,-0.6140481524485691,"Black,WC"
12,because,0.5384615384615384,195,1.167042243445291,0.15447255097428905,"Black,WC"
13,heart,1.0,21,1.0,0.0,"Black,WC"
14,looking,0.5714285714285714,28,1.3334475766144005,0.2877677512420489,"Black,WC"
15,only,0.6666666666666667,33,2.0004713141094306,0.6933828098518985,"Black,WC"
16,dress,0.8695652173913043,23,6.669094544415882,1.8974841002502179,"Black,WC"
17,away,0.6774193548387097,31,2.1004948692131364,0.74217296897406,"Black,WC"
18,my,0.5278776978417266,1112,1.1195985431233626,0.11297017741087158,"Black,WC"
19,doll,0.761904761904762,21,3.2007540056550425,1.1633864088172547,"Black,WC"
20,!,0.7463768115942029,828,2.9689125595987282,1.0881957442191754,"Black,WC"
21,box,0.45454545454545453,22,0.8332976368958378,-0.18236439343642513,"Black,WC"
22,taking,0.6451612903225806,31,1.8185323673755551,0.5980297842282479,"Black,WC"
23,beat,0.2424242424242424,33,0.319883491818727,-1.1397984375509953,"Black,WC"
24,feel,0.5416666666666666,24,1.181868809109797,0.16709692222314543,"Black,WC"
25,came,0.46,50,0.8517788521430573,-0.16042834905755635,"Black,WC"
26,Philip,0.0,32,1.0,0.0,"Black,WC"
27,try,0.5714285714285714,35,1.3334761496715226,0.28778917896931505,"Black,WC"
28,let,0.4626334519572954,281,0.8605389309264554,-0.1501964221384206,"Black,WC"
29,watch,0.5321100917431193,109,1.1374255804118312,0.12876744588896258,"Black,WC"
30,black,0.4090909090909091,22,0.6922483825741412,-0.3678104534102978,"Black,WC"
31,I'll,0.6266666666666667,75,1.679255047141357,0.5183502707529102,"Black,WC"
32,five,0.456140350877193,57,0.8386198297871164,-0.17599779822512002,"Black,WC"
33,.,0.4678688775120349,13087,0.8610130006194249,-0.14964567522656094,"Black,WC"
34,e,0.75,32,3.0010283657554204,1.0989550185146657,"Black,WC"
35,hurt,0.2592592592592593,27,0.3499025549868288,-1.050100577586487,"Black,WC"
36,can't,0.5544041450777203,193,1.2447468154463768,0.21893214814875364,"Black,WC"
37,t,0.608695652173913,23,1.5557221532031968,0.44193984503217504,"Black,WC"
38,home,0.4615384615384615,65,0.8570510269674616,-0.1542578207712724,"Black,WC"
39,man,0.4605263157894737,152,0.8534388517807545,-0.1584813833906458,"Black,WC"
40,Graeme,0.96,25,24.011826206187337,3.1785464675734376,"Black,WC"
41,some,0.48792270531400966,207,0.9527279514865288,-0.048425881467577786,"Black,WC"
42,Hawkins,0.46153846153846156,26,0.8571061392343091,-0.15419351830478548,"Black,WC"
43,garbage,0.0,23,1.0,0.0,"Black,WC"
44,off,0.5396039603960395,202,1.1724455066890715,0.15909174408687912,"Black,WC"
45,around,0.5517241379310345,58,1.2309274680064086,0.207767924269326,"Black,WC"
46,poke,0.9393939393939394,33,15.50963166127408,2.7414612284392708,"Black,WC"
47,mommy,0.7868852459016393,244,3.7034224054091607,1.3092573665598475,"Black,WC"
48,frog,0.0,21,1.0,0.0,"Black,WC"
49,was,0.36538461538461536,364,0.5745458970489571,-0.5541752944597542,"Black,WC"
50,orange,0.8333333333333333,24,5.001713796058269,1.609780612917235,"Black,WC"
51,ow,0.5,30,1.0,0.0,"Black,WC"
52,about,0.7118644067796611,59,2.4719120105498584,0.9049919445241877,"Black,WC"
53,first,0.5660377358490566,53,1.3045434642867126,0.26585314377221697,"Black,WC"
54,wait,0.4466019417475728,103,0.8068272666490679,-0.21464567742820104,"Black,WC"
55,boy,0.2878787878787879,66,0.40401284043305236,-0.9063086182759342,"Black,WC"
56,keep,0.48648648648648646,74,0.9473278172286537,-0.05411008178075101,"Black,WC"
57,see,0.4093686354378818,491,0.6917768346519872,-0.36849186865408223,"Black,WC"
58,somebody,0.2033898305084746,59,0.2551277470724629,-1.3659908903551232,"Black,WC"
59,out,0.5,140,1.0,0.0,"Black,WC"
