,age,word,pfgw,OR,LOR,freq
2318,2,cups,0.28405759156506166,0.3967308466007744,-0.9244971964793683,53
2319,2,played,0.54159231113713,1.1815039894024648,0.1667881941964375,124
2320,2,twelve,0.3420589169126958,0.5198694134991104,-0.6541776268308779,44
2321,2,draw,0.5737700355026951,1.3463209544219108,0.29737565333406335,262
2322,2,hammer,0.228171964775927,0.2955908907823155,-1.2187789064102634,66
2323,2,camel,0.15857580282460185,0.1884452876025286,-1.6689475656706467,38
2324,2,pond,0.48403551920362803,0.9381150788467734,-0.06388265216343146,29
2325,2,finished,0.4521333325148413,0.8252171037161006,-0.1921087712474121,173
2326,2,believe,0.48699164143214224,0.9492831628997117,-0.05204814458401267,35
2327,2,ten,0.6099128701560683,1.5636071379327863,0.44699541998942155,69
2328,2,bad,0.48056618880885443,0.9251533035569276,-0.0777958216269467,169
2329,2,preschool,0.018962813586952773,0.019326150420217247,-3.946296156126956,53
2330,2,name,0.6187565952289,1.6237558742094702,0.4847419066770955,604
2331,2,Child,0.299236249970576,0.42677113354237645,-0.8515073964660982,436
2332,2,potatoes,0.5757175599084112,1.3569834883477896,0.3052642130173112,94
2333,2,whoop,0.46638858978781833,0.8740146681382698,-0.1346581207005316,43
2334,2,towel,0.13950155538488004,0.1621034705513512,-1.81952044052922,36
2335,2,oink,0.6099128701560683,1.5636071379327863,0.44699541998942155,69
2336,2,airplane,0.271844290864756,0.3732262173018517,-0.9855705624714027,192
2337,2,park,0.5404006572384714,1.1758437573173286,0.1619859812257998,115
2338,2,middle,0.4435693515504017,0.7971539245153465,-0.22670748895785892,52
2339,2,cried,0.750957505460424,3.0154974464805844,1.1037648071105304,24
2340,2,Michael,0.6165941322484969,1.608281573498965,0.47516626332454265,65
2341,2,feels,0.5012783059271056,1.0051267147554688,0.005113617896877304,46
2342,2,giving,0.6319593018015762,1.7171868247659912,0.5406873848289296,65
2343,2,been,0.39344573528514976,0.6485297230968181,-0.43304744266483586,283
2344,2,pop,0.4646863339756051,0.8680554627890565,-0.14149966914071208,41
2345,2,drum,0.44954082269977735,0.8166573605138303,-0.20253565946558824,29
2346,2,sometimes,0.4086424604143878,0.6909577525506537,-0.3696765966629397,162
2347,2,Jen,0.0,1.0,0.0,22
2348,2,together,0.45551626548918683,0.836527961315538,-0.1784953325561871,306
