,decade,word,pfgw,freq,OR,LOR
0,70s,by,0.42531504983787766,411,0.7399392691891291,-0.3011871648150777
1,70s,quiver,0.0,26,1.0,0.0
2,70s,pig,0.5364759322332888,58,1.15740086865414,0.14617686067929994
3,70s,tomato,0.7514994354786204,28,3.0242715499474375,1.1066702525487053
4,70s,laughing,0.6539893951475269,23,1.8901274902944418,0.6366442819787969
5,70s,starting,0.19355539277576758,26,0.23999863065283622,-1.4271220612696052
6,70s,Wood,1.0,52,1.0,0.0
7,70s,pretty,0.43745478937587956,744,0.7774044682608728,-0.2517945128819564
8,70s,kitty,0.7785434163392794,359,3.5178022296059175,1.2578364280227878
9,70s,Miriam,1.0,57,1.0,0.0
10,70s,darling,1.0,20,1.0,0.0
11,70s,yup,0.7099860397870041,24,2.448188535294679,0.8953483777362437
12,70s,place,0.6436311072992258,201,1.8064134364282038,0.5913433526208737
13,70s,buy,0.5169266010626347,134,1.0700942489668357,0.06774672774129765
14,70s,girls,0.9527430416099194,105,20.167028892866274,3.0040490378371105
15,70s,screw,0.09443301618670977,32,0.10427195652693659,-2.260752826312019
16,70s,finish,0.4360119867000394,235,0.7730133540244157,-0.2574589549625446
17,70s,boy,0.5486717911075901,664,1.2159329115285549,0.1955116105816422
18,70s,mustard,0.038758977582058374,26,0.04031874343007039,-3.21093882063347
19,70s,noise,0.5639549586029096,121,1.2934048128306133,0.257278131092408
20,70s,hamper,1.0,22,1.0,0.0
21,70s,moon,0.6436311072992258,67,1.8061918213570147,0.5912206627305295
22,70s,Jack,0.8920782289050488,46,8.266922946644554,2.1122623656325152
23,70s,friendly,0.3828438745501859,21,0.6203258290984989,-0.4775104081819206
24,70s,growing,0.4230071777600053,38,0.7331101689302633,-0.31045928971216974
25,70s,together,0.34618229366995146,302,0.5293219077593718,-0.6361585109135804
26,70s,count,0.490891330214316,45,0.9642146730621167,-0.036441319264845035
27,70s,sugar,0.5184843273276627,91,1.0767871310239805,0.07398172870762096
28,70s,story,0.6478783025301733,291,1.8404320672666372,0.6100003632218396
29,70s,monkeys,0.8528602527345412,81,5.797317767671958,1.7573953567379508
30,70s,belong,0.6322997584951371,46,1.7196732734141615,0.5421343154638374
31,70s,say,0.5357359213968723,1304,1.1542896344690292,0.14348511967034003
32,70s,medicine,0.6090524838847337,56,1.557948713777515,0.4433700289205571
33,70s,chimney,0.6079720966980451,33,1.5508740364952023,0.4388186665154213
