,word,pfgw,freq,OR,LOR,class
0,patty,1.0,74,1.0,0.0,"Black,WC"
1,told,0.5158730158730158,126,1.06561279963877,0.06355003240486805,"Black,WC"
2,eighteen,0.09090909090909091,22,0.09998352719385747,-2.302749834624628,"Black,WC"
3,Miss,0.5517241379310346,58,1.2308368300715495,0.20769428770308704,"Black,WC"
4,Anthony,0.19322033898305085,295,0.23909888999549422,-1.4308780469565128,"Black,WC"
5,thank_you,0.6171428571428571,175,1.6125457082288828,0.4778141154744993,"Black,WC"
6,looking,0.5490196078431372,51,1.2174470227470364,0.19675606188376557,"Black,WC"
7,until,0.4,60,0.6665934394517723,-0.40557495496345086,"Black,WC"
8,onions,0.8333333333333334,24,5.0007322453388,1.6095843507792424,"Black,WC"
9,dress,0.6,30,1.5000823760926274,0.40552002399534437,"Black,WC"
10,!,0.7975975975975975,1665,3.976830381116441,1.3804851153578692,"Black,WC"
11,box,0.3409090909090909,44,0.5171751015154892,-0.659373774164574,"Black,WC"
12,watched,1.0,35,1.0,0.0,"Black,WC"
13,taking,0.5,44,1.0,0.0,"Black,WC"
14,doctor,0.923076923076923,26,12.002416498091517,2.4851080043557685,"Black,WC"
15,thousand,0.4761904761904762,21,0.9090825888827041,-0.09531933207523226,"Black,WC"
16,beat,0.2857142857142857,21,0.39996705318165593,-0.9163731023123667,"Black,WC"
17,headsets,0.4222222222222222,45,0.7307224097410269,-0.3137216317883682,"Black,WC"
18,ran,0.10638297872340424,47,0.11900730750256687,-2.1285703801713804,"Black,WC"
19,great,0.5714285714285714,21,1.3333699429195534,0.2877095292645042,"Black,WC"
20,Philip,0.0,59,1.0,0.0,"Black,WC"
21,Torrence,0.7288135593220338,59,2.688164309255699,0.988858547747972,"Black,WC"
22,road,0.8571428571428571,21,6.000823760926274,1.791896753291879,"Black,WC"
23,Bernard,0.0,116,1.0,0.0,"Black,WC"
24,watch,0.6820809248554913,173,2.1466928179694427,0.763928433657851,"Black,WC"
25,five,0.39896373056994816,193,0.6635560257985956,-0.41014198898783183,"Black,WC"
26,.,0.4830965035976425,27657,0.9254861521599519,-0.07743610963054989,"Black,WC"
27,what're,0.3584905660377359,53,0.5587468058781533,-0.5820588496198644,"Black,WC"
28,e,0.8181818181818181,66,4.50173046814199,1.5044618713324567,"Black,WC"
29,hurt,0.39743589743589747,78,0.6594778642927064,-0.41630687176606807,"Black,WC"
30,t,0.5454545454545454,33,1.200032950437051,0.18234901511451404,"Black,WC"
31,man,0.37,200,0.5870219173179823,-0.5326931220010258,"Black,WC"
32,kumbaya,1.0,22,1.0,0.0,"Black,WC"
33,garbage,0.20689655172413796,29,0.2608289785571124,-1.343890341002996,"Black,WC"
34,around,0.4581005586592179,179,0.8452446941786581,-0.16812911463518856,"Black,WC"
35,own,0.5454545454545454,33,1.200032950437051,0.18234901511451404,"Black,WC"
36,avenue,0.25925925925925924,27,0.3499583585012721,-1.0499411072875,"Black,WC"
37,haven't,0.46153846153846156,26,0.8571271673201913,-0.15416898478790317,"Black,WC"
38,wow,0.40740740740740744,54,0.6874370715142195,-0.3747849859737047,"Black,WC"
39,was,0.4856070087609512,799,0.9438395181773399,-0.05779912921938653,"Black,WC"
40,soon,0.5483870967741936,31,1.2143190566846933,0.19418347251019924,"Black,WC"
41,about,0.5157894736842105,380,1.0653345801589704,0.06328890959722093,"Black,WC"
42,first,0.3619047619047619,105,0.5670136068410636,-0.5673719775863109,"Black,WC"
43,wait,0.532319391634981,526,1.138566443328687,0.12976996523042536,"Black,WC"
44,boy,0.28571428571428575,112,0.3998242418139709,-0.9167302239017022,"Black,WC"
45,somebody,0.45882352941176474,85,0.8477717560466522,-0.16514383502446783,"Black,WC"
46,wall,0.5,22,1.0,0.0,"Black,WC"
47,onion,0.8095238095238095,21,4.250505693051182,1.4470379624582597,"Black,WC"
48,Charlie,0.9189189189189189,37,11.336549522911536,2.4280319771230876,"Black,WC"
49,yes,0.6164021164021164,378,1.608193386798897,0.47511142894766806,"Black,WC"
50,Mister,0.3846153846153846,26,0.6249656791411548,-0.4700585441276825,"Black,WC"
51,bit,0.5483870967741936,62,1.214352409461299,0.19421093837132758,"Black,WC"
52,comes,0.43678160919540227,87,0.7754321099520506,-0.2543348437798464,"Black,WC"
53,hit,0.40963855421686746,83,0.693782272198144,-0.3655970965196327,"Black,WC"
54,caught,0.04166666666666667,24,0.04346950728457427,-3.135695568654041,"Black,WC"
55,wonder,0.18181818181818182,22,0.2221937501843056,-1.5042055291555017,"Black,WC"
56,anybody,0.6052631578947368,38,1.5334456140350878,0.4275172386906296,"Black,WC"
57,ahead,0.39090909090909093,110,0.6416500305394204,-0.44371224769653,"Black,WC"
58,Joyce,0.0,40,1.0,0.0,"Black,WC"
59,let's,0.558974358974359,195,1.267708900540514,0.2372112559527378,"Black,WC"
60,really,0.43918918918918914,148,0.7830034517970792,-0.24461817457566254,"Black,WC"
61,hear,0.46623093681917205,459,0.8732211042478224,-0.13556648573924593,"Black,WC"
62,nursery,0.59375,64,1.4616990186999799,0.3795994705712823,"Black,WC"
63,putting,0.6551724137931035,29,1.9001565160085672,0.6419362596262229,"Black,WC"
64,easter,0.8571428571428571,21,6.000823760926274,1.791896753291879,"Black,WC"
65,made,0.5333333333333333,105,1.1429303915272218,0.1335954831569996,"Black,WC"
66,bother,0.25,24,0.33329672575739544,-1.0987221174268806,"Black,WC"
67,today,0.5407725321888412,233,1.1777750815178605,0.1636271345018934,"Black,WC"
68,finish,0.7368421052631579,95,2.8011538144556467,1.0300314088922193,"Black,WC"
69,if,0.47342192691029894,602,0.8987896563497454,-0.10670624702629664,"Black,WC"
70,street,0.2337662337662338,77,0.30497025695600943,-1.1875410253069503,"Black,WC"
71,bet,0.21739130434782605,23,0.2777447295741764,-1.2810528260729415,"Black,WC"
72,played,0.08333333333333333,48,0.09087581190373382,-2.398261408876933,"Black,WC"
73,god,0.6111111111111112,54,1.5716011926557514,0.45209496758184364,"Black,WC"
74,big,0.43678160919540227,174,0.7753539614697496,-0.25443562941857156,"Black,WC"
75,find,0.5344827586206897,58,1.1481901886874333,0.13818695376404042,"Black,WC"
76,twenty,0.4810126582278481,158,0.9267783422085437,-0.07604085505200579,"Black,WC"
77,ask,0.5465116279069768,86,1.2052164718929042,0.18665919553283886,"Black,WC"
78,going,0.3953871499176277,607,0.6531892414343172,-0.42588838857517713,"Black,WC"
79,cmon,0.0,48,1.0,0.0,"Black,WC"
80,nose,0.5428571428571428,35,1.1875326075017847,0.1718777154985405,"Black,WC"
81,happen,0.5,24,1.0,0.0,"Black,WC"
82,area,0.15000000000000002,20,0.1764479782944568,-1.734729186594637,"Black,WC"
83,pen,0.13043478260869568,23,0.14997666331106435,-1.8972755749156198,"Black,WC"
84,than,0.3636363636363637,88,0.571303029867122,-0.5598355098050414,"Black,WC"
85,James,0.9500000000000001,40,19.00626172929922,2.9447684895718824,"Black,WC"
86,book,0.6296296296296297,81,1.700326857226566,0.5308205015376669,"Black,WC"
87,took,0.48333333333333334,120,0.9354496088656143,-0.06672800017510672,"Black,WC"
88,something,0.48514851485148514,404,0.9422040252439878,-0.059533440549576086,"Black,WC"
89,ate,0.6981132075471699,53,2.3129445649785785,0.8385214162429339,"Black,WC"
90,straight,0.7083333333333334,24,2.428793711231289,0.8873947189665171,"Black,WC"
91,Jt,1.0,39,1.0,0.0,"Black,WC"
92,saw,0.4620689655172414,145,0.8588878370071711,-0.15211693943821575,"Black,WC"
93,john,0.5714285714285714,21,1.3333699429195534,0.2877095292645042,"Black,WC"
94,oh,0.5492307692307693,1300,1.2198666634682884,0.1987415605332254,"Black,WC"
95,grow,0.7941176470588235,34,3.8578489961057745,1.3501097732576472,"Black,WC"
96,mother,0.3986013986013986,143,0.6626147076158873,-0.4115615925382273,"Black,WC"
97,remember,0.41025641025641024,78,0.6955630212099853,-0.363033658912826,"Black,WC"
98,need,0.5540540540540541,148,1.242606297610831,0.21721102672638173,"Black,WC"
99,your,0.4719101123595505,1958,0.892709787501107,-0.11349373692603248,"Black,WC"
100,green,0.16842105263157894,95,0.2024148613482808,-1.597435918630558,"Black,WC"
101,yup,0.7575757575757576,33,3.1254862789250146,1.1395898803385052,"Black,WC"
102,listening,0.35714285714285715,28,0.5555148789821094,-0.5878598854148784,"Black,WC"
103,like,0.544385026737968,935,1.1957474839351532,0.17877149940307044,"Black,WC"
104,shirt,0.3380281690140845,71,0.5105307940887721,-0.6723043217691156,"Black,WC"
105,sorry,0.4035087719298246,57,0.6764024767801858,-0.39096700025509323,"Black,WC"
106,nice,0.4901960784313726,102,0.961520854652338,-0.039239024482501085,"Black,WC"
107,kinda,0.5217391304347826,23,1.0909190753416964,0.08702052934430188,"Black,WC"
108,whole,0.761904761904762,42,3.2006444466821065,1.1633521791176782,"Black,WC"
109,stomach,0.4242424242424242,33,0.7368083852901918,-0.3054274134187857,"Black,WC"
110,fifteen,0.575,40,1.353015479876161,0.30233579027335755,"Black,WC"
111,hands,0.45967741935483875,124,0.8506683729025543,-0.16173291742438703,"Black,WC"
112,piece,0.4358974358974359,39,0.7726919095768404,-0.25787487442633716,"Black,WC"
113,open,0.41379310344827586,87,0.7057854239217589,-0.3484440198077776,"Black,WC"
114,paint,0.8333333333333334,24,5.0007322453388,1.6095843507792424,"Black,WC"
115,spell,0.13636363636363638,22,0.15787161690260246,-1.8459731275032234,"Black,WC"
