,word,pfgw,freq,OR,LOR
0,trunk,0.11483253588516747,418,0.1296855288932083,-2.0426427675683674
1,Dad,0.1690307328605201,846,0.20329339572793173,-1.5931050442275294
2,Pluto,0.6363636363636364,22,1.7500111098649254,0.5596221364095142
3,April,0.8250000000000001,40,4.714415407561118,1.5506249227275373
4,same,0.437219730941704,446,0.7768463885548369,-0.2525126462869635
5,climbing,0.8627450980392157,51,6.28596037325494,1.8383186343871538
6,shave,0.29629629629629634,27,0.4210477310180113,-0.8650090763865594
7,boat,0.5345268542199488,391,1.148384461489082,0.13835613859946225
8,penguin,0.7205882352941176,68,2.5790292336153633,0.9474130620871408
9,roller,0.19565217391304346,46,0.24323603688249743,-1.413722961896601
10,Minnie,0.5833333333333334,24,1.4000059252612935,0.33647646894175204
11,pan,0.6440677966101696,59,1.8095563589795836,0.5930817096983215
12,feathers,0.15,20,0.1764679741798541,-1.7346158684786463
13,black,0.539179104477612,536,1.1700924969307858,0.15708280289060836
14,wrap,0.7142857142857143,35,2.5000396785508334,0.9163066031685387
15,apart,0.4159999999999999,125,0.7123129387341034,-0.3392379434371234
16,careful,0.5499999999999999,100,1.2222351549011619,0.20068127668893856
17,cock_a_doodle_doo,0.7428571428571429,35,2.888940853149704,1.060889948152231
18,I've,0.4976744186046512,215,0.9907396923522628,-0.00930345084937452
19,bit,0.6256983240223464,358,1.6718010125476657,0.5139014959458922
20,telephones,0.5952380952380952,42,1.470600683466928,0.3856709455336699
21,rock,0.4358108108108108,296,0.7724240278383795,-0.25822162088679124
22,Zach,0.15384615384615385,26,0.18181471903977925,-1.704767137701003
23,buildings,0.27272727272727276,22,0.37499603222468403,-0.9808398338018786
24,Cleo,1.0,27,1.0,0.0
25,push,0.3412816691505216,671,0.5179827560468788,-0.6578133267615511
26,crayon,0.6346153846153846,156,1.7369192965302525,0.5521130247692706
27,ya,0.5671852899575672,707,1.310589294640139,0.27047687930067166
28,unhunh,0.4382022471910113,89,0.7799909214130852,-0.2484729985802291
29,send,0.4864864864864865,37,0.9473674186545613,-0.054068279357687495
30,son,0.19047619047619047,42,0.23528764471362998,-1.4469464932818041
31,cries,0.6785714285714286,28,2.111133448523844,0.7472249826539595
32,horsies,0.5789473684210527,38,1.3750087292534743,0.31846007964636397
33,tickle,0.47586206896551725,145,0.9078880120588312,-0.09663424272416792
34,burned,0.34782608695652173,23,0.5333293831842152,-0.6286160659793991
35,isn't,0.49271844660194175,412,0.971285698554532,-0.02913462270723682
36,raincoat,0.65,20,1.8571546471911193,0.6190455568735976
37,looked,0.45283018867924535,106,0.827577450037742,-0.18925258089890487
38,take,0.4746812386156649,2745,0.9034730246675018,-0.10150902587868675
39,cash,0.6666666666666666,36,2.000025394245664,0.6931598776021696
40,ant,0.5357142857142857,28,1.1538485955772924,0.14310295980542095
41,hotdog,0.6249999999999999,56,1.6666913558039753,0.5108404371386573
42,radio,0.4666666666666667,60,0.8749962966568335,-0.13353562502566946
43,they're,0.5404354587869362,1286,1.1761024252798518,0.1622059420101749
44,o,0.5916666666666667,360,1.4490808003716076,0.37092942463520634
45,bracelet,0.5277777777777778,36,1.1176494239613481,0.11122775128392835
46,lock,0.27941176470588236,68,0.38774279367053505,-0.9474130620871408
47,gas,0.1607142857142857,112,0.19147396316155813,-1.6530034422080186
48,alphabet,0.7391304347826088,23,2.8333663103386617,1.0414655137034863
49,Koko,0.0,44,1.0,0.0
50,eheh,0.0,23,1.0,0.0
51,nice,0.39142461964038733,723,0.643074943085421,-0.4414940093038203
52,river,0.20454545454545453,44,0.25713578314383934,-1.3581509945277817
53,card,0.6923076923076924,65,2.250059519085787,0.8109566687934727
54,pear,0.6538461538461539,104,1.888952847744533,0.6360226267173756
55,laundry,0.36363636363636365,22,0.5714249437406058,-0.559622136409514
56,purse,0.7741935483870968,62,3.4286947751826617,1.232179656740451
57,plain,0.6129032258064515,31,1.583345060475018,0.4595397359668122
58,mommy,0.5767761650114592,2618,1.363396476019184,0.30997899524259426
59,frisbee,0.5599999999999999,25,1.2727313126781548,0.24116523105897175
60,bicycle,0.8292682926829269,82,4.8574203928914566,1.5805075136413838
61,puts,0.2807017543859649,57,0.39023357966231303,-0.9410097969297128
62,bother,0.5,36,1.0,0.0
63,broken,0.4711111111111111,450,0.8907317925540429,-0.11571191528434208
64,smiling,0.75,28,3.0000444397888475,1.0986271018213436
65,guitar,0.4666666666666667,30,0.8749981483558459,-0.13353350879150927
66,eleven,0.5694444444444444,144,1.322608635160532,0.27960602516538313
67,Mel,1.0,25,1.0,0.0
