,child_sex,word,freq
0,male,Chi's,47
1,male,sunshine,25
2,male,buzz,45
3,male,Robin,61
4,male,!,9196
5,male,wonderful,35
6,male,fold,39
7,male,umbrella,42
8,male,snow,106
9,male,human,26
10,male,across,35
11,male,answer,27
12,male,mean,440
13,male,cookies,163
14,male,pipe,47
15,male,still,812
16,male,live,165
17,male,roared,55
18,male,k,29
19,male,five,395
20,male,trying,227
21,male,whee,48
22,male,friends,99
23,male,Timmy,69
24,male,kick,37
25,male,this,7508
26,male,Wes,21
27,male,thinks,32
28,male,biting,23
29,male,castle,35
30,male,time,901
31,male,found,343
32,male,shave,21
33,male,bunny,279
34,male,years,91
35,male,plenty,33
36,male,cooking,85
37,male,down,2006
38,male,nothing,186
39,male,dip,31
40,male,lemme,107
41,male,tracks,22
42,male,orange,216
43,male,snake,39
44,male,crayon,71
45,male,set,152
46,male,week,83
47,male,Tuesday,110
48,male,hardly,26
49,male,ago,62
50,male,hours,27
51,male,one's,161
52,male,tail,94
53,male,buddy,60
54,male,ow,65
55,male,s,21
56,male,crab,35
57,male,fuzzy,69
58,male,Richard,33
59,male,moved,21
60,male,need,560
61,male,squeak,23
62,male,nah,41
63,male,finish,276
64,male,Bear,426
65,male,mom,31
66,male,comb,51
67,male,bouncie,44
68,male,probably,291
69,male,bathtime,40
70,male,themselves,20
71,male,Mot,59
72,male,share,45
73,male,showing,24
74,male,king,26
75,male,ship,23
76,male,medicine,42
77,male,rock,69
78,male,beads,40
79,male,move,228
80,male,certain,22
81,male,Sesame,30
82,male,them,2643
83,male,your,5758
84,male,should,775
85,male,straw,23
86,male,played,117
87,male,kiss,135
88,male,outside,228
89,male,hair,201
90,male,throwing,57
91,male,doll,120
92,male,dish,69
93,male,dressing,30
94,male,page,200
95,male,Brian,61
96,male,we'd,46
97,male,fruit,70
98,male,better,584
99,male,boring,67
100,male,strawberry,30
101,male,pudding,21
102,male,ready,501
103,male,breakfast,106
104,male,had,884
105,male,g,49
106,male,nineteen,28
107,male,grab,20
108,male,"""/.",253
109,male,toast,72
110,male,pajamas,25
111,male,yuck,49
112,male,yogurt,42
113,male,enough,288
114,male,Disney,24
115,male,turkey,56
116,male,zoo,107
117,male,eat,1885
118,male,seems,32
119,male,call,436
120,male,said,1579
121,male,Swiss,22
122,male,people,427
123,male,maybe,699
124,male,asking,40
125,male,snort,44
126,male,lots_of,99
127,male,calf,88
128,male,Mother,22
129,male,please,780
130,male,past,117
131,male,blocks,206
132,male,sir,56
133,male,New,23
134,male,case,22
135,male,wish,33
136,male,himself,160
137,male,understand,75
138,male,camera,47
139,male,laughing,89
140,male,button,92
141,male,nickel,31
142,male,hm,1287
143,male,happening,34
144,male,plastic,46
145,male,also,164
146,male,sounds,98
147,male,pages,29
148,male,wouldn't,186
149,male,next,482
150,male,bye,195
151,male,David,88
152,male,sit,888
153,male,they,3429
154,male,fox,41
155,male,reach,69
156,male,puzzle,171
157,male,crawl,26
158,male,Lassie,51
159,male,ooh,86
160,male,that'll,30
161,male,lonely,29
162,male,she,1520
163,male,Ernie,74
164,male,built,113
165,male,hope,93
166,male,Winnie_the_Pooh,24
167,male,whining,27
168,male,slippers,22
169,male,seven,95
170,male,bundles,23
171,male,mushrooms,20
172,male,french,23
173,male,music,59
174,male,hungry,833
175,male,other,908
176,male,than,391
177,male,me,3487
178,male,sock,20
179,male,brother,90
180,male,tree,222
181,male,moose,34
182,male,last,317
183,male,swan,23
184,male,sandbox,21
185,male,these,1383
186,male,telling,77
187,male,where's,1017
188,male,good_night,44
189,male,Terry,20
190,male,uhhuh,710
191,male,there's,1291
192,male,arm,76
193,male,bedroom,48
194,male,num,21
195,male,thought,321
196,male,type,21
197,male,from,612
198,male,upstairs,59
199,male,grapes,35
200,male,somewhere,44
201,male,oops,175
202,male,how'd,27
203,male,e,67
204,male,tall,131
205,male,cracker,45
206,male,tweet,34
207,male,glue,27
208,male,brought,95
209,male,pick,322
210,male,couple,111
211,male,raccoon,20
212,male,dress,41
213,male,hear,260
214,male,kiwi,45
215,male,Honey,32
216,male,falling,64
217,male,extra,28
218,male,giant,42
219,male,farm,101
220,male,it's,4045
221,male,tear,40
222,male,creatures,28
223,male,toilet,22
224,male,balloons,30
225,male,boots,137
226,male,em,79
227,male,anymore,248
228,male,only,374
229,male,mashed,35
230,male,Ross,129
231,male,wolf,55
232,male,men,62
233,male,policeman,133
234,male,Jean,21
235,male,today,486
236,male,up,3567
237,male,at,3193
238,male,rabbit,110
239,male,clap,34
240,male,uses,21
241,male,line,50
242,male,night_night,42
243,male,seem,37
244,male,chasing,24
245,male,you'll,280
246,male,Mister,56
247,male,peek_a_boo,35
248,male,worked,20
249,male,block,76
250,male,bathtub,23
251,male,breaking,20
252,male,why,1801
253,male,way,833
254,male,growing,29
255,male,carry,70
256,male,horn,34
257,male,acting,22
258,male,gets,136
259,male,giving,71
260,male,oranges,101
261,male,rocket,225
262,male,town,35
263,male,won't,295
264,male,bang,42
265,male,fit,235
266,male,watched,33
267,male,wan,39
268,male,times,66
269,male,hush,22
270,male,train,207
271,male,Marcella,21
272,male,bottom,68
273,male,definitely,50
274,male,everybody,106
275,male,circle,82
276,male,suppose,40
277,male,bit,254
278,male,clouds,90
279,male,pull,227
280,male,police,28
281,male,Nurse,21
282,male,mhm,1010
283,male,elephants's,20
284,male,coloring,25
285,male,though,294
286,male,chocolate,215
287,male,tickle,73
288,male,rained,76
289,male,someone,113
290,male,finished,174
291,male,spots,23
292,male,anywhere,30
293,male,door,356
294,male,mix,62
295,male,very,1273
296,male,cock_a_doodle_doo,31
297,male,wear,168
298,male,mommy,266
299,male,learn,78
300,male,ruff,24
301,male,must,320
302,male,ho,23
303,male,anything,348
304,male,tape,178
305,male,Bro,370
306,male,hyrax,25
307,male,grew,50
308,male,own,143
309,male,either,136
310,male,Carol,21
311,male,point,61
312,male,figured,21
313,male,sing,170
314,male,weighed,23
315,male,looking,316
316,male,Moosh,39
317,male,angry,73
318,male,shapes,23
319,male,bus,246
320,male,change,109
321,male,number,195
322,male,lick,22
323,male,eating,389
324,male,pop,189
325,male,picture,279
326,male,left,189
327,male,chin,20
328,male,bag,191
329,male,yard,45
330,male,Nathan,23
331,male,boy,911
332,male,shelf,28
333,male,Miffy,29
334,male,throw,344
335,male,choo_choo,28
336,male,sign,29
337,male,buy,202
338,male,walks,140
339,male,somebody's,22
340,male,pan,59
341,male,sticking,32
342,male,we,4306
343,male,sea,94
344,male,school,497
345,male,cash,24
346,male,pretending,35
347,male,airplanes,21
348,male,spring,24
349,male,cows,67
350,male,welcome,57
351,male,Miss,45
352,male,cocoon,183
353,male,shall,126
354,male,station,29
355,male,//.,145
356,male,spit,21
357,male,present,20
358,male,have,3937
359,male,toes,43
360,male,Asian,145
361,male,babys,42
362,male,softly,27
363,male,changed,24
364,male,couldn't,101
365,male,each_other,21
366,male,pickles,23
367,male,charge,40
368,male,problem,39
369,male,was,3275
370,male,regular,22
371,male,burn,23
372,male,brown,71
373,male,twenty,60
374,male,threatened,23
375,male,grocery,36
376,male,picnic,180
377,male,boys,94
378,male,forks,21
379,male,after,414
380,male,names,50
381,male,cup,358
