,child_sex,word,freq
0,male,Chi's,51
1,male,sunshine,35
2,male,buzz,47
3,male,Robin,84
4,male,!,9051
5,male,logs,28
6,male,wonderful,44
7,male,fold,39
8,male,umbrella,46
9,male,snow,102
10,male,across,64
11,male,answer,36
12,male,north,23
13,male,mean,454
14,male,cookies,172
15,male,pipe,34
16,male,still,746
17,male,live,192
18,male,roared,64
19,male,five,368
20,male,trying,216
21,male,whee,41
22,male,friends,96
23,male,Timmy,98
24,male,kick,32
25,male,this,7317
26,male,thinks,36
27,male,biting,22
28,male,ants,20
29,male,castle,23
30,male,time,953
31,male,found,315
32,male,shave,23
33,male,bunny,280
34,male,years,96
35,male,plenty,24
36,male,cooking,78
37,male,down,2076
38,male,nothing,163
39,male,dip,25
40,male,lemme,91
41,male,orange,211
42,male,snake,46
43,male,crayon,73
44,male,set,139
45,male,week,100
46,male,Tuesday,104
47,male,ago,60
48,male,hours,22
49,male,one's,157
50,male,tail,103
51,male,buddy,85
52,male,remind,23
53,male,ow,80
54,male,s,22
55,male,crab,33
56,male,fuzzy,60
57,male,Richard,31
58,male,cousin,22
59,male,moved,21
60,male,need,569
61,male,nah,34
62,male,finish,305
63,male,pork,20
64,male,Bear,413
65,male,comb,38
66,male,mom,20
67,male,bouncie,47
68,male,probably,256
69,male,bathtime,38
70,male,Mot,73
71,male,share,42
72,male,dough,20
73,male,king,25
74,male,ship,34
75,male,medicine,43
76,male,lights,24
77,male,rock,70
78,male,beads,34
79,male,move,238
80,male,Sesame,32
81,male,them,2647
82,male,your,5832
83,male,should,723
84,male,played,117
85,male,kiss,132
86,male,pear,31
87,male,outside,253
88,male,hair,213
89,male,swings,22
90,male,throwing,52
91,male,doll,111
92,male,dish,67
93,male,dressing,27
94,male,page,186
95,male,Brian,47
96,male,we'd,57
97,male,fruit,63
98,male,better,565
99,male,boring,65
100,male,strawberry,36
101,male,ready,517
102,male,breakfast,99
103,male,had,885
104,male,g,38
105,male,nineteen,34
106,male,grab,29
107,male,stays,25
108,male,"""/.",208
109,male,toast,59
110,male,pajamas,37
111,male,yuck,49
112,male,yogurt,36
113,male,enough,350
114,male,turkey,63
115,male,zoo,116
116,male,eat,1802
117,male,seems,31
118,male,call,423
119,male,beebee,26
120,male,said,1539
121,male,Swiss,23
122,male,people,388
123,male,maybe,711
124,male,asking,24
125,male,snort,31
126,male,lots_of,78
127,male,calf,67
128,male,Mother,26
129,male,please,763
130,male,past,106
131,male,blocks,224
132,male,sir,57
133,male,New,31
134,male,case,21
135,male,wish,38
136,male,himself,173
137,male,understand,69
138,male,camera,43
139,male,laughing,89
140,male,button,97
141,male,nickel,30
142,male,hm,1413
143,male,happening,38
144,male,plastic,59
145,male,also,146
146,male,sounds,82
147,male,pages,32
148,male,wouldn't,185
149,male,next,449
150,male,bye,222
151,male,David,86
152,male,sit,891
153,male,they,3400
154,male,fox,40
155,male,reach,61
156,male,puzzle,174
157,male,crawl,29
158,male,Lassie,38
159,male,ooh,82
160,male,that'll,26
161,male,lonely,30
162,male,she,1554
163,male,Ernie,77
164,male,built,141
165,male,hope,95
166,male,seven,101
167,male,bundles,26
168,male,french,23
169,male,music,51
