,decade,word,pfgw,freq,OR,LOR
129,70s,stick,0.5867361756363578,130,1.419863693252068,0.3505608763382127
130,70s,kite,0.10426167677955775,29,0.11638900471958555,-2.1508172093184825
131,70s,alligator,0.2916573618917425,69,0.41170857670676947,-0.8874395180045925
132,70s,butter,0.4231845643497155,171,0.733595524547023,-0.3097974587304881
133,70s,Abe,0.0,2448,1.0,0.0
134,70s,look,0.5270467804085388,1890,1.1147376004300469,0.10861904127905743
135,70s,snakes,0.25974143472186983,31,0.35086274856208566,-1.0473601617259827
136,70s,plenty,0.573567579446738,49,1.345068322769713,0.29644480936194784
137,70s,the,0.5489881825451817,24176,1.2268150680384424,0.20442143557447998
138,70s,pens,0.25562772573282005,63,0.34338025971045955,-1.0689168169979284
139,70s,creamcheese,1.0,24,1.0,0.0
140,70s,paper,0.3317443925643595,473,0.49618232167364706,-0.7008118357802143
141,70s,fight,0.7792846909652893,27,3.5308931064335485,1.261550843600321
142,70s,yellow,0.5081368914690171,168,1.0330949862260779,0.03255913772633747
143,70s,doctor,0.5934147389383021,115,1.4596085667624368,0.3781682948164508
144,70s,herself,0.5021849338159059,40,1.008778655217358,0.008740346857651056
145,70s,cold,0.549856460430943,325,1.221639634202793,0.20019391889727828
146,70s,rain,0.4020993712581712,50,0.6724978064010496,-0.39675642936863803
147,70s,nothing,0.42276628284436885,126,0.7323552217572405,-0.31148960710431683
148,70s,hafta,0.48086353900266354,1548,0.9261008760700702,-0.07677211282852921
149,70s,fruit,0.5631269025709983,41,1.289015465730722,0.25387872212457707
150,70s,raining,0.29870257881253753,64,0.4258936846204004,-0.8535655304784759
151,70s,hall,0.07467574693481834,27,0.08069637438108929,-2.517061631839536
152,70s,boom,0.1905334868679625,37,0.2353644577190713,-1.446620082305517
153,70s,drawing,0.9149681532122574,35,10.761297467680446,2.375956129962336
154,70s,poop,0.0,37,1.0,0.0
155,70s,queen,0.929148941756072,28,13.115121427613042,2.5737658719578698
156,70s,Kwww,1.0,26,1.0,0.0
157,70s,closed,0.29426457901871733,106,0.41690387119926986,-0.8748996084602296
158,70s,family,0.9564097758442219,91,21.946744843672615,3.088618829830111
159,70s,hm,0.33100010595450585,547,0.4944778803432286,-0.7042528602783334
160,70s,paint,0.05707228915662651,106,0.06050867923563949,-2.804968465794197
161,70s,end,0.4688425235460495,105,0.8826624664939313,-0.12481240910852387
162,70s,trick,0.24159775834817923,50,0.31853538138727855,-1.1440217225815106
163,70s,more,0.5208061889339851,1396,1.087039601834945,0.08345803970629502
164,70s,would,0.3309163723832863,2146,0.4934390778886947,-0.706355876789459
165,70s,Nana,0.3352783298510251,24,0.5043763815949195,-0.6844325007400259
166,70s,part,0.4499232651454695,335,0.8178409024360793,-0.2010874570955649
167,70s,hook,0.3352783298510251,21,0.5043779648293377,-0.6844293617509869
168,70s,walk,0.4883713753752884,181,0.9545299311625108,-0.04653627835878555
169,70s,Patsy,0.0,111,1.0,0.0
170,70s,mistake,0.6211065482004341,21,1.6392909509677709,0.49426380137633663
171,70s,teach,0.21576088392273968,28,0.2751074050691359,-1.2905936936780211
172,70s,clean,0.7264592722232711,178,2.6564453131751065,0.976988880653339
173,70s,cleaned,0.7101356567306405,24,2.4499683969615447,0.8960751252740707
174,70s,Agra,1.0,28,1.0,0.0
175,70s,anything,0.507719615730678,271,1.0313764097398057,0.030894230296174375
176,70s,fish,0.5057058849851868,284,1.0230975543180718,0.022834843437649858
177,70s,falling,0.5476205614931533,66,1.2105579267513482,0.1910813498250479
178,70s,walking,0.776169916728305,71,3.4681083205270338,1.2436092927232008
179,70s,tomatoes,0.3352783298510252,33,0.5043716318309741,-0.6844419178865921
180,70s,gloves,0.5021849338159059,20,1.0087783747867698,0.0087400688674043
181,70s,tricks,0.0840033920559072,24,0.09170129662702733,-2.3892187599393435
182,70s,likes,0.657144233970596,145,1.916956642605853,0.6507388464920582
183,70s,Wilbur,1.0,45,1.0,0.0
