,word,pfgw,freq,OR,LOR,class
0,wanna,0.5462962962962963,216,1.204598605575071,0.18614640404344243,"Black,WC"
1,had,0.5777777777777777,135,1.3690374320684382,0.3141078885683292,"Black,WC"
2,told,0.34375,64,0.5235850885193187,-0.6470557241156351,"Black,WC"
3,play,0.5507246376811594,138,1.2261745300772688,0.20389918470458285,"Black,WC"
4,Miss,0.6060606060606061,66,1.5389231428665633,0.4310829139518623,"Black,WC"
5,Anthony,0.32142857142857145,28,0.47358275966629426,-0.7474285988065789,"Black,WC"
6,before,0.625,24,1.666880868230338,0.5109541364460852,"Black,WC"
7,lord,0.9411764705882354,34,16.010285420416558,2.773231354483477,"Black,WC"
8,make,0.45038167938931295,131,0.8192160450152346,-0.19940743868846328,"Black,WC"
9,thing,0.3609467455621302,169,0.5642456281620929,-0.5722656113657393,"Black,WC"
10,because,0.5044642857142857,224,1.018061721970538,0.01790054690975819,"Black,WC"
11,heart,1.0,20,1.0,0.0,"Black,WC"
12,looking,0.6666666666666667,27,2.0003855875926484,0.6933399557739339,"Black,WC"
13,only,0.6799999999999999,25,2.125409678041257,0.7539645734613144,"Black,WC"
14,dress,0.7727272727272727,22,3.4008739798213483,1.2240324514783143,"Black,WC"
15,away,0.7560975609756098,41,3.1013949302534876,1.13185198778271,"Black,WC"
16,my,0.526610644257703,1071,1.1138004130828023,0.10777796305036215,"Black,WC"
17,doll,0.8,25,4.001285347043702,1.3866156462632167,"Black,WC"
18,!,0.7846506300114547,873,3.682971094069695,1.303719788957976,"Black,WC"
19,taking,0.7419354838709676,62,2.876848716080079,1.0566954992730568,"Black,WC"
20,beat,0.2,25,0.24991969161580468,-1.3866156462632167,"Black,WC"
21,feel,0.5357142857142857,28,1.1538955849762318,0.14314368303578756,"Black,WC"
22,came,0.34883720930232553,43,0.5355651096253002,-0.6244328098835175,"Black,WC"
23,Philip,0.0,30,1.0,0.0,"Black,WC"
24,try,0.6578947368421053,38,1.9235713402826415,0.654183531309881,"Black,WC"
25,let,0.42384105960264906,302,0.7349055868012055,-0.3080132413518293,"Black,WC"
26,watch,0.6823529411764706,85,2.149575886937064,0.7652705607911481,"Black,WC"
27,black,0.48275862068965514,29,0.9333133416156164,-0.0690142914139103,"Black,WC"
28,I'll,0.5857142857142857,70,1.4141567099816645,0.3465333887603952,"Black,WC"
29,five,0.4800000000000001,50,0.9230373705478686,-0.0800855571647051,"Black,WC"
30,.,0.46507535766199976,13071,0.8498810120476851,-0.16265892512295804,"Black,WC"
31,e,0.918918918918919,37,11.340862012314462,2.4284123106058764,"Black,WC"
32,hurt,0.3255813953488372,43,0.48260351253495476,-0.7285598474609694,"Black,WC"
33,can't,0.6353591160220995,181,1.7442569951961386,0.5563286742612374,"Black,WC"
34,t,0.8285714285714286,35,4.835715255012034,1.5760290507485706,"Black,WC"
35,home,0.573170731707317,82,1.3432025501345803,0.29505672533104477,"Black,WC"
36,man,0.4358974358974359,156,0.7723958577020852,-0.25825809133433153,"Black,WC"
37,Graeme,0.8333333333333334,42,5.0030001071466845,1.6100377539225548,"Black,WC"
38,some,0.3895348837209302,172,0.6375752711394853,-0.4500829365438869,"Black,WC"
39,Hawkins,0.3913043478260869,23,0.6427883012021283,-0.441939845032175,"Black,WC"
40,kumbaya,1.0,23,1.0,0.0,"Black,WC"
41,off,0.5545454545454546,220,1.2455394111786156,0.2195686980766517,"Black,WC"
42,around,0.5,56,1.0,0.0,"Black,WC"
43,poke,0.9523809523809524,21,20.00814053127678,2.9961392173049886,"Black,WC"
44,mommy,0.7810945273631841,201,3.5768448726788327,1.2744810913406086,"Black,WC"
45,wow,0.9047619047619048,21,9.503459651678414,2.251655906172175,"Black,WC"
46,frog,0.0,27,1.0,0.0,"Black,WC"
47,was,0.4265060240963855,415,0.7427223581649413,-0.2974329808621387,"Black,WC"
48,orange,0.8461538461538463,26,5.502120913492437,1.7051336385408855,"Black,WC"
49,ow,0.75,32,3.0010283657554204,1.0989550185146657,"Black,WC"
50,about,0.825,40,4.71691222613716,1.5511543961445038,"Black,WC"
51,first,0.574468085106383,47,1.3502024725215862,0.30025456085013486,"Black,WC"
52,wait,0.3904761904761905,105,0.6403092115133201,-0.44580407631485175,"Black,WC"
53,boy,0.16923076923076924,65,0.20351609507513468,-1.5920101859487346,"Black,WC"
54,keep,0.5,64,1.0,0.0,"Black,WC"
55,see,0.4042056074766355,428,0.6772356932112368,-0.3897359230665886,"Black,WC"
