,embeddings,r,p
55,Word2Vec,0.10523960119480157,9.131819081343726e-06
56,Word2Vec,0.20820835425560336,8.705913923649536e-19
57,Word2Vec,0.14643932051170194,6.018452757326728e-10
58,Word2Vec,0.140533389771843,2.889702818314166e-09
59,Word2Vec,0.08316939470282954,0.0004606578610014587
60,Word2Vec,0.19024654076242972,6.909489932043861e-16
61,Word2Vec,0.13889006591859757,4.420774056511639e-09
62,Word2Vec,0.12727428795042336,7.757360257371813e-08
63,Word2Vec,0.16565454639837393,2.3343828784156295e-12
64,Word2Vec,0.08045974540679013,0.0007036464578451503
65,Word2Vec,0.08277042574594759,0.0004906906300953916
66,Word2Vec,0.13802554464106434,5.517916607193129e-09
67,Word2Vec,0.07530724771437171,0.0015215401430730888
68,Word2Vec,0.1494151488710194,2.6643030766851743e-10
69,Word2Vec,0.12545827415608315,1.1875158587982313e-07
70,Word2Vec,0.18414050799378995,5.790396823643243e-15
71,Word2Vec,0.17220077354131938,3.005381228643363e-13
72,Word2Vec,0.05854047424589221,0.013768366866779562
73,Word2Vec,0.2227272218058188,2.466441298203389e-21
74,Word2Vec,0.18415915268770558,5.753563205564808e-15
75,Word2Vec,0.23307503381178762,2.902250797038913e-23
76,Word2Vec,0.12073720289581225,3.4940819755233846e-07
77,Word2Vec,0.23670507237526248,5.7972269546041065e-24
78,Word2Vec,0.07167803010937641,0.0025500023801759693
79,Word2Vec,0.09147361454247639,0.00011630663872116458
80,Word2Vec,0.1648395114520491,2.9960548214761467e-12
81,Word2Vec,0.12155824901662123,2.9044913434789977e-07
82,Word2Vec,0.198727722790463,3.1966324107551835e-17
83,Word2Vec,0.21736797883415673,2.2594058003276626e-20
84,Word2Vec,0.08417543474915518,0.0003923643365379573
85,Word2Vec,0.09648357096456758,4.78645380985862e-05
86,Word2Vec,0.1461605255623068,6.490477306274163e-10
87,Word2Vec,0.24022764624939782,1.1831598364687748e-24
88,Word2Vec,0.15176233217271126,1.3849091409384799e-10
89,Word2Vec,0.1219273010441667,2.671909420037933e-07
90,Word2Vec,0.24743184012700234,4.2305176891357487e-26
91,Word2Vec,0.19562606312322484,9.998226179044066e-17
92,Word2Vec,0.13309793662955788,1.902071293779392e-08
93,Word2Vec,0.11150236609866056,2.571045779633986e-06
94,Word2Vec,0.12190302487665979,2.6866395243306027e-07
95,Word2Vec,0.07822826789948159,0.0009880980398403838
96,Word2Vec,0.17830374465663568,4.130602777725919e-14
97,Word2Vec,0.17272617855502725,2.540469834761991e-13
98,Word2Vec,0.15847225442700827,2.0162086359074758e-11
99,Word2Vec,0.09831553082355012,3.422120655255959e-05
100,Word2Vec,0.1349472444212561,1.201643789291107e-08
101,Word2Vec,0.13630491369535033,8.543336211575829e-09
102,Word2Vec,0.1411917458583925,2.4337555047744206e-09
103,Word2Vec,0.20986614658045508,4.55208819199432e-19
