,word,pfgw,freq,OR,LOR
117,audio,0.0,1,1.0,0.0
118,daily,1.0,1,1.0,0.0
119,holic,1.0,1,1.0,0.0
120,tina,1.0,2,1.0,0.0
121,disciples,0.0,9,1.0,0.0
122,mono,0.0,1,1.0,0.0
123,congenial,0.0,1,1.0,0.0
124,rpm,0.0,1,1.0,0.0
125,specifications,0.0,2,1.0,0.0
126,flipped,1.0,3,1.0,0.0
127,spec,1.0,3,1.0,0.0
128,creator,1.0,15,1.0,0.0
129,te,0.0,1,1.0,0.0
130,slaves,0.0,1,1.0,0.0
131,cassandra,1.0,9,1.0,0.0
132,state,0.2222222222222222,27,0.28568294364696295,-1.2528726717481795
133,duties,0.7500000000000001,4,3.0000438779315943,1.0986269145383492
134,orderly,1.0,2,1.0,0.0
135,navy,0.0,4,1.0,0.0
136,bring,0.6724137931034483,58,2.052931875432398,0.7192689545502338
137,milk,0.8181818181818182,22,4.500460768825697,1.5041797846068383
138,journalistic,1.0,4,1.0,0.0
139,two-lane,0.0,3,1.0,0.0
140,applebaums,0.7500000000000001,4,3.0000438779315943,1.0986269145383492
141,pat's,0.0,4,1.0,0.0
142,coffeemakers,0.0,1,1.0,0.0
143,diameter,0.6666666666666666,3,2.0000146258702394,0.6931544934683256
144,wooden,0.0,2,1.0,0.0
145,perry's,1.0,4,1.0,0.0
146,grandmom,1.0,1,1.0,0.0
147,ephesians,0.0,2,1.0,0.0
148,adopted,0.25,4,0.333328458078906,-1.0986269145383492
149,grateful,0.0,5,1.0,0.0
150,rosebud,0.0,3,1.0,0.0
151,eliminating,0.0,3,1.0,0.0
152,hock,1.0,3,1.0,0.0
153,expedition,0.5,2,1.0,0.0
154,lambada's,0.0,1,1.0,0.0
155,yawned,1.0,2,1.0,0.0
156,masturbated,1.0,2,1.0,0.0
157,id,0.8,5,4.000087756504951,1.3863163000054692
158,ex,0.5238095238095238,42,1.1000160908106842,0.09532480770704947
159,switch,0.0,9,1.0,0.0
160,aroused,0.0,2,1.0,0.0
161,radical,0.0,4,1.0,0.0
