,word,pfgw,freq,OR,LOR
0,empowered,0.0,1,1.0,0.0
1,smiles,1.0,2,1.0,0.0
2,expressing,1.0,3,1.0,0.0
3,tea,0.7083333333333333,24,2.428749047908114,0.8873763297004248
4,lass,1.0,1,1.0,0.0
5,noble's,1.0,1,1.0,0.0
6,bud,1.0,3,1.0,0.0
7,flue,0.0,2,1.0,0.0
8,minimal,0.0,4,1.0,0.0
9,machines,0.0,3,1.0,0.0
10,piss,1.0,5,1.0,0.0
11,legitimate,0.0,1,1.0,0.0
12,utilized,0.0,1,1.0,0.0
13,no,0.5941123996431757,1121,1.466005872434444,0.3825416092098092
14,laborers,0.0,1,1.0,0.0
15,meanwhile,1.0,5,1.0,0.0
16,brown,0.6666666666666666,9,2.0000438788942523,0.6931691197664053
17,jennifer,0.5333333333333333,15,1.142865500864009,0.13353870585378874
18,income,0.0,10,1.0,0.0
19,sixty,0.25,16,0.3333138318877887,-1.0986707947161891
20,cheers,0.5,6,1.0,0.0
21,include,0.5,6,1.0,0.0
22,abnormal,0.0,1,1.0,0.0
23,neighbors,1.0,12,1.0,0.0
24,evening,0.23529411764705882,17,0.30767205619116517,-1.178720815886418
25,directing,0.0,1,1.0,0.0
26,compost,0.5,8,1.0,0.0
27,nutrasweet,1.0,1,1.0,0.0
28,harley-davidsons,1.0,1,1.0,0.0
29,electrically,1.0,3,1.0,0.0
30,impractical,0.0,1,1.0,0.0
31,massive,0.0,1,1.0,0.0
32,spices,0.0,3,1.0,0.0
33,pregnant,0.6956521739130436,46,2.2860152267820832,0.8268102262349861
34,romans,0.0,8,1.0,0.0
35,trimmer,1.0,1,1.0,0.0
36,worms,1.0,6,1.0,0.0
37,trainers,1.0,1,1.0,0.0
38,dork,1.0,1,1.0,0.0
39,unsuccessfully,0.0,1,1.0,0.0
40,basis,0.7500000000000001,8,3.000087757788504,1.098641540836429
41,reliable,1.0,3,1.0,0.0
42,five-story,0.0,2,1.0,0.0
43,to,0.49257317605941464,4578,0.9702366979586525,-0.030215218738308902
44,poorly,1.0,2,1.0,0.0
45,minus,0.6666666666666666,12,2.0000585060480627,0.6931764331561153
46,oth,0.0,5,1.0,0.0
47,grain,0.0,1,1.0,0.0
48,disgusting,1.0,3,1.0,0.0
49,combine,0.0,4,1.0,0.0
50,varna,1.0,3,1.0,0.0
51,caribbean,1.0,1,1.0,0.0
52,gallons,1.0,2,1.0,0.0
53,alterations,1.0,1,1.0,0.0
54,voiced,0.0,2,1.0,0.0
55,bango,0.0,1,1.0,0.0
56,host,0.0,1,1.0,0.0
57,first,0.5314009661835749,207,1.1341285130211265,0.12586452606364457
58,played,0.3636363636363636,11,0.571416034785007,-0.5596377273023265
59,tonsils,1.0,1,1.0,0.0
60,bumping,1.0,4,1.0,0.0
61,whichever,0.0,1,1.0,0.0
62,certified,0.0,2,1.0,0.0
63,posture,1.0,2,1.0,0.0
64,course,0.4473684210526316,76,0.8094764384775504,-0.2113676125541943
65,lina,1.0,9,1.0,0.0
66,artists,0.0,5,1.0,0.0
67,moral,0.25,4,0.333328458078906,-1.0986269145383492
68,storeroom,0.0,1,1.0,0.0
69,hazardous,1.0,3,1.0,0.0
70,backup,1.0,2,1.0,0.0
71,through,0.30150753768844224,199,0.4314051940923886,-0.8407075050152123
72,asia,0.0,2,1.0,0.0
73,indian,0.0,2,1.0,0.0
74,potty,1.0,2,1.0,0.0
75,deity,0.0,2,1.0,0.0
76,mike,0.8333333333333334,12,5.000292534519073,1.609496417626453
77,treats,1.0,2,1.0,0.0
78,gods,0.0,2,1.0,0.0
79,japan,0.0,1,1.0,0.0
80,leather,0.3333333333333333,3,0.4999963435591795,-0.6931544934683256
81,fused,0.0,1,1.0,0.0
82,illusive,1.0,5,1.0,0.0
83,sayings,0.0,2,1.0,0.0
