,word,pfgw,freq,OR,LOR
0,empowered,0.0,1,1.0,0.0
1,smiles,1.0,2,1.0,0.0
2,expressing,1.0,3,1.0,0.0
3,tea,0.8,20,4.0003510568273235,1.3863821214756689
4,lass,1.0,1,1.0,0.0
5,wavers,0.0,1,1.0,0.0
6,bud,1.0,2,1.0,0.0
7,machines,0.0,2,1.0,0.0
8,minimal,0.25,4,0.333328458078906,-1.0986269145383492
9,horowitz,1.0,2,1.0,0.0
10,piss,1.0,6,1.0,0.0
11,tangent,0.0,2,1.0,0.0
12,legitimate,0.0,1,1.0,0.0
13,utilized,0.0,3,1.0,0.0
14,no,0.5992970123022847,1138,1.4980982246744567,0.4041964534890697
15,laborers,0.0,2,1.0,0.0
16,meanwhile,1.0,6,1.0,0.0
17,brown,0.5,6,1.0,0.0
18,income,0.0,11,1.0,0.0
19,jennifer,0.7142857142857143,21,2.5001645566842927,0.916356552381655
20,sixty,0.0,6,1.0,0.0
21,cheers,0.3333333333333333,6,0.4999926870648803,-0.6931618065371438
22,include,0.0,6,1.0,0.0
23,abnormal,0.0,1,1.0,0.0
24,neighbors,1.0,10,1.0,0.0
25,evening,0.29166666666666663,24,0.41173459269548734,-0.8873763297004248
26,compost,0.5,8,1.0,0.0
27,dʔ,0.0,2,1.0,0.0
28,harley-davidsons,1.0,1,1.0,0.0
29,rosa's,1.0,1,1.0,0.0
30,massive,0.0,2,1.0,0.0
31,spices,0.6666666666666666,3,2.0000146258702394,0.6931544934683256
32,pregnant,0.6818181818181818,44,2.143107923411619,0.7622570761247344
33,romans,0.0,6,1.0,0.0
34,trimmer,1.0,1,1.0,0.0
35,trainers,0.5,4,1.0,0.0
36,worms,1.0,2,1.0,0.0
37,unsuccessfully,0.0,1,1.0,0.0
38,basis,0.6923076923076923,13,2.2500822747317843,0.8109667820952485
39,five-story,0.0,1,1.0,0.0
40,to,0.4815713970425955,4531,0.927753103225049,-0.07498963415341171
41,andrew,1.0,1,1.0,0.0
42,poorly,1.0,2,1.0,0.0
43,minus,0.411764705882353,17,0.6999846422746986,-0.35669688378698255
44,whole-wheat,0.0,1,1.0,0.0
45,oth,0.0,5,1.0,0.0
46,grain,0.0,1,1.0,0.0
47,disgusting,1.0,1,1.0,0.0
48,combine,0.0,1,1.0,0.0
49,varna,1.0,3,1.0,0.0
50,caribbean,1.0,1,1.0,0.0
51,alterations,1.0,9,1.0,0.0
52,shifted,0.0,2,1.0,0.0
53,host,1.0,3,1.0,0.0
54,first,0.5204081632653061,196,1.0851699119376519,0.08173657559598282
55,played,0.44444444444444436,9,0.7999941495663365,-0.22315086438302953
56,quotation,0.0,2,1.0,0.0
57,tonsils,1.0,1,1.0,0.0
58,whichever,0.0,2,1.0,0.0
59,certified,0.2,5,0.24999451533876924,-1.3863163000054692
60,posture,1.0,2,1.0,0.0
61,course,0.5063291139240507,79,1.025648528172192,0.025325122925422924
62,lina,1.0,6,1.0,0.0
63,artists,0.0,3,1.0,0.0
64,moral,0.2,5,0.24999451533876924,-1.3863163000054692
65,storeroom,0.0,1,1.0,0.0
66,hazardous,1.0,2,1.0,0.0
67,backup,1.0,1,1.0,0.0
68,through,0.339080459770115,174,0.5128332868397205,-0.6678044635484328
69,indian,0.0,8,1.0,0.0
70,potty,1.0,1,1.0,0.0
71,deity,0.0,2,1.0,0.0
72,mike,0.7857142857142858,14,3.666881193549567,1.2993414897504738
73,gods,0.0,3,1.0,0.0
74,montgomery,1.0,1,1.0,0.0
75,leather,1.0,1,1.0,0.0
76,illusive,1.0,2,1.0,0.0
77,costumes,0.0,2,1.0,0.0
78,produced,1.0,2,1.0,0.0
79,appreciate,0.25,8,0.3333235827531738,-1.0986415408364287
80,bolita,0.0,1,1.0,0.0
81,lily,1.0,2,1.0,0.0
