,word,pfgw,freq,OR,LOR
0,empowered,0.0,2,1.0,0.0
1,smiles,1.0,1,1.0,0.0
2,lass,1.0,2,1.0,0.0
3,tea,0.85,20,5.667246889833174,1.7347034424698715
4,bud,1.0,2,1.0,0.0
5,machines,0.0,4,1.0,0.0
6,minimal,0.0,4,1.0,0.0
7,horowitz,1.0,1,1.0,0.0
8,piss,1.0,7,1.0,0.0
9,murdered,0.0,3,1.0,0.0
10,utilized,0.0,1,1.0,0.0
11,no,0.6129629629629629,1080,1.586571705148621,0.46157552808790714
12,laborers,0.0,1,1.0,0.0
13,meanwhile,1.0,5,1.0,0.0
14,brown,0.6666666666666666,12,2.0000585060480627,0.6931764331561153
15,jennifer,0.8076923076923077,26,4.200491497531541,1.435201541664435
16,income,0.05555555555555556,18,0.05881664669963199,-2.833330357008221
17,sixty,0.39999999999999997,10,0.6666569159438943,-0.40547973429928513
18,cheers,0.8333333333333334,6,5.000146261911205,1.6094671643884988
19,abnormal,0.0,2,1.0,0.0
20,include,0.0,2,1.0,0.0
21,neighbors,1.0,8,1.0,0.0
22,evening,0.29032258064516125,31,0.40905201558133825,-0.8939129535652183
23,compost,0.5454545454545454,11,1.2000087757788502,0.18232886991625555
24,harley-davidsons,1.0,1,1.0,0.0
25,rosa's,1.0,5,1.0,0.0
26,impractical,0.0,1,1.0,0.0
27,massive,0.7500000000000001,4,3.0000438779315943,1.0986269145383492
28,spices,0.6666666666666666,6,2.000029252168317,0.6931618065371437
29,pregnant,0.8684210526315789,38,6.601351736850189,1.887274436675624
30,romans,0.0,4,1.0,0.0
31,trimmer,1.0,1,1.0,0.0
32,trainers,0.2,5,0.24999451533876924,-1.3863163000054692
33,worms,1.0,4,1.0,0.0
34,entrusted,0.0,1,1.0,0.0
35,unsuccessfully,0.0,2,1.0,0.0
36,basis,0.39999999999999997,20,0.6666471646506458,-0.4054943615600738
37,five-story,0.0,4,1.0,0.0
38,to,0.4974574397523767,4523,0.9897119358524943,-0.010341352080985763
39,poorly,1.0,2,1.0,0.0
40,minus,0.6666666666666666,18,2.0000877616393873,0.6931910604169039
41,whole-wheat,0.5,2,1.0,0.0
42,oth,0.0,6,1.0,0.0
43,disgusting,1.0,3,1.0,0.0
44,combine,0.0,2,1.0,0.0
45,dumptruck,0.0,4,1.0,0.0
46,caribbean,1.0,3,1.0,0.0
47,gallons,1.0,2,1.0,0.0
48,alterations,1.0,2,1.0,0.0
49,shifted,0.0,1,1.0,0.0
50,first,0.5592417061611374,211,1.269049370695281,0.23826809317269002
51,played,0.375,8,0.599991224413681,-0.5108402498501496
52,tonsils,1.0,3,1.0,0.0
53,bumping,1.0,3,1.0,0.0
54,whichever,0.0,2,1.0,0.0
55,certified,0.6,5,1.5000109694828985,0.40547242107002357
56,course,0.4305555555555556,72,0.7560422563227936,-0.2796580097577795
57,lina,1.0,4,1.0,0.0
58,artists,0.0,8,1.0,0.0
59,moral,0.39999999999999997,5,0.6666617913765869,-0.4054724210700237
60,storeroom,0.0,2,1.0,0.0
61,hazardous,1.0,2,1.0,0.0
62,backup,1.0,1,1.0,0.0
63,through,0.3314917127071823,181,0.49564647355469854,-0.7018923613178104
64,indian,0.0,6,1.0,0.0
65,potty,1.0,7,1.0,0.0
66,mike,1.0,7,1.0,0.0
67,treats,1.0,2,1.0,0.0
