,word,pfgw,freq,OR,LOR
0,moe,1.0,1,1.0,0.0
1,crystallite,0.0,3,1.0,0.0
2,ayano,0.0,6,1.0,0.0
3,Eggo,0.0,3,1.0,0.0
4,leventeen,0.0,1,1.0,0.0
5,Karic,1.0,2,1.0,0.0
6,theirself,0.5659502857306102,2,1.303883928244956,0.2653474474605617
7,Chooklee,1.0,5,1.0,0.0
8,Magason,1.0,1,1.0,0.0
9,Aislinn_Lastname,1.0,1,1.0,0.0
10,kee,1.0,1,1.0,0.0
11,plying,1.0,1,1.0,0.0
12,fan,0.3946517893341981,57,0.6519337184925161,-0.42781238097689506
13,squeak,0.5791815265791248,37,1.376330248267867,0.3194207167229416
14,huff,0.0,5,1.0,0.0
15,Buzzart,0.0,6,1.0,0.0
16,babysat,1.0,1,1.0,0.0
17,beaker,1.0,2,1.0,0.0
18,Shana's,0.0,1,1.0,0.0
19,lone,1.0,1,1.0,0.0
20,Marshall,1.0,2,1.0,0.0
21,MB,0.0,1,1.0,0.0
22,Hulks,0.0,3,1.0,0.0
23,uppie,0.0,9,1.0,0.0
24,Shawna,0.0,1,1.0,0.0
25,Dobie's,0.0,1,1.0,0.0
26,pointed,0.4650277127971374,5,0.8692553865305148,-0.14011831135694985
27,ti,0.6616850165155856,5,1.9558288317716002,0.6708140584642389
28,batch,1.0,1,1.0,0.0
29,Minny's,1.0,1,1.0,0.0
30,hooey,0.0,1,1.0,0.0
31,grandfather's,0.0,1,1.0,0.0
32,Up,1.0,1,1.0,0.0
33,frightened,0.0712353503419258,18,0.07669790746717793,-2.5678808530257045
34,Phyllis,0.0,2,1.0,0.0
35,aheeuu,1.0,1,1.0,0.0
36,dribbles,0.0,1,1.0,0.0
37,hooked,0.6848546763680539,8,2.173146412433441,0.7761760770226465
38,races,0.0,4,1.0,0.0
39,caterpillar,0.7069849404658577,305,2.413134902912769,0.8809266917990985
40,won't,0.3964562561406794,794,0.6567694534497774,-0.420422230071349
41,kittycats,0.0,1,1.0,0.0
42,cuppycakes,1.0,2,1.0,0.0
43,stew,0.0,3,1.0,0.0
44,paying,0.7964024588764527,4,3.9116613200464134,1.363962173794509
45,Wintertime,0.0,1,1.0,0.0
46,staples,0.0,1,1.0,0.0
47,tickle,0.5219024710359569,158,1.0916314849818043,0.08767335240220474
48,Kookookoo,0.0,1,1.0,0.0
49,catching,0.477183911294354,17,0.9127177458279095,-0.09132859642720972
50,Moe's_Bagels,0.0,2,1.0,0.0
51,Boston,0.31944922683246274,34,0.46939226034493264,-0.7563164841013778
52,shi,0.0,1,1.0,0.0
53,tab,0.0,4,1.0,0.0
54,shell,0.17610805838208252,71,0.21374181977805076,-1.5429864419417911
55,Mcdonalds,0.5659502857306102,2,1.303883928244956,0.2653474474605617
56,bad,0.4089333512053756,750,0.6917589014174286,-0.36851779242907723
57,chart,0.0,1,1.0,0.0
58,paddling,0.0,1,1.0,0.0
59,father's,0.6348381108904387,7,1.7385150109796799,0.553031306871804
60,suckerfish,0.0,2,1.0,0.0
61,opossum,0.17851921481669616,7,0.21731297234796498,-1.5264166956278544
62,Olivia,1.0,7,1.0,0.0
63,nuggy,0.0,1,1.0,0.0
64,pimple,0.27142280660158047,9,0.37253662984688496,-0.987419910837685
65,meeney,0.0,1,1.0,0.0
66,screw,0.24583563037113315,265,0.3259273457288221,-1.121080788316225
67,spider's,0.39465178933419803,3,0.6519413547067613,-0.42780066786970833
68,tweet_tweet,0.0,3,1.0,0.0
69,yeaga,0.0,1,1.0,0.0
70,Penney's,0.0,1,1.0,0.0
71,Deorge,1.0,1,1.0,0.0
72,Eddie,0.06120403138332634,42,0.06519189914888897,-2.7304200639514105
73,God,0.660322839013298,137,1.9440662037087826,0.6647817608641275
74,skittles,1.0,1,1.0,0.0
75,paint,0.31576532394079293,241,0.46144552362243696,-0.773391273994953
76,pianos,0.0,1,1.0,0.0
77,tipped,0.0,6,1.0,0.0
78,witches,0.35848386193806864,30,0.5588023993801311,-0.5819593578001537
79,ducklings,1.0,12,1.0,0.0
80,ua,0.0,1,1.0,0.0
81,icecubes,1.0,4,1.0,0.0
